"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","92811","4870","85814","2127"
"2","SAS Nagar","74979","4913","68987","1079"
"3","Jalandhar","66835","2417","62914","1504"
"4","Patiala","56546","4533","50635","1378"
"5","Amritsar","50623","2826","46196","1601"
"6","Bathinda","43494","1484","40957","1053"
"7","Hoshiarpur","32552","1411","30138","1003"
"8","Gurdaspur","23675","1023","21844","808"
"9","Pathankot","21442","1560","19445","437"
"10","Fazilka","20525","221","19772","532"
"11","Muktsar","19062","241","18296","525"
"12","Kapurthala","18753","685","17512","556"
"13","Sangrur","16255","453","14924","878"
"14","Mansa","15818","199","15237","382"
"15","Ferozepur","14989","482","14003","504"
"16","Faridkot","14359","357","13681","321"
"17","Ropar","13976","859","12689","428"
"18","SBS Nagar","11780","238","11152","390"
"19","FG Sahib","10019","707","8973","339"
"20","Moga","8985","252","8499","234"
"21","Tarn Taran","8512","424","7707","381"
"22","Barnala","6192","229","5715","248"
"","Total","642182","30384","595090","16708"
