"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40667","88","40224","76","0","367","0"
"2","Ballari","9","115443","15","113481","202","4","1758","2"
"3","Belagavi","20","100037","50","98846","191","0","998","2"
"4","Bengaluru Rural","2","79262","6","78291","65","0","906","0"
"5","Bengaluru Urban","345","1778137","544","1757479","3761","13","16896","1"
"6","Bidar","1","29793","2","29363","8","0","418","4"
"7","Chamarajanagara","3","43592","15","42958","100","0","523","11"
"8","Chikkaballapura","2","55590","0","55000","130","0","459","1"
"9","Chikkamagaluru","6","57205","6","56733","66","0","406","0"
"10","Chitradurga","5","46167","25","45740","190","0","237","0"
"11","Dakshina 
Kannada","7","135383","17","133401","137","0","1835","10"
"12","Davanagere","4","57515","4","56819","74","0","622","0"
"13","Dharwada","14","84012","5","82576","59","1","1374","3"
"14","Gadag","0","30567","2","30225","7","0","335","0"
"15","Hassana","14","143815","18","142425","86","0","1302","2"
"16","Haveri","0","26825","3","26141","16","0","668","0"
"17","Kalaburagi","8","76534","46","75524","132","0","878","0"
"18","Kodagu","16","49210","22","48696","162","0","351","1"
"19","Kolara","5","62947","5","62239","44","0","664","0"
"20","Koppala","1","41263","4","40703","23","0","537","0"
"21","Mandya","0","101459","11","100700","56","0","703","0"
"22","Mysuru","18","229252","30","226419","278","0","2555","0"
"23","Raichuru","0","45436","8","45014","63","0","359","0"
"24","Ramanagara","0","29766","8","29380","40","0","346","0"
"25","Shivamogga","10","83217","49","81737","351","0","1128","1"
"26","Tumakuru","8","159714","42","158124","377","0","1213","0"
"27","Udupi","4","95550","26","94904","102","1","544","0"
"28","Uttara Kannada","11","71104","5","70227","69","0","808","0"
"29","Vijayapura","1","40985","16","40433","37","0","515","0"
"30","Yadagiri","0","29946","1","29697","38","0","211","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","514","3940429","1073","3893532","6940","19","39919","38"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 26-02-2022 
 Page 5 of 9","","","","","","","","",""
