"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","645","782","5230"
"Kollam","224","123","1043"
"Pathanamthitta","186","143","385"
"Alappuzha","136","91","555"
"Kottayam","253","131","3107"
"Idukki","120","176","1339"
"Ernakulam","575","502","4636"
"Thrissur","194","186","2381"
"Palakkad","77","43","723"
"Malappuram","181","120","1599"
"Kozhikode","313","349","3599"
"Wayanad","87","83","962"
"Kannur","157","224","1462"
"Kasaragod","57","59","821"
"Total","3205","3012","27842"
