District,Recovered,Deceased,Active
लखनऊ,296857,2695,781
गौतम बिु नगर,104004,491,463
गाज़ियाबाद,87138,474,199
गोरखपरु,66192,866,109
लखीमपरु-खीरी,30149,301,103
िाराणसी,98053,988,96
झ सी,44220,675,69
मरेठ,88316,932,64
अयोध्य,18780,293,49
कानपरु नगर,91845,1923,42
प्रय गर ज,87652,1123,42
अमरोह,19298,208,39
र य बरेली,21500,348,33
सहारनपरु,38480,428,31
देवररय,22480,230,30
हरदोई,17463,376,27
कुशीनगर,16259,235,27
सभंल,11066,109,27
औरैय्य,10880,211,24
बलुदंशहर,26536,254,24
मरुादाबाद,46158,369,23
बस्ती,12842,337,22
कन्नौज,10923,126,22
पीलीभीत,12820,207,22
सोनभद्र,18713,257,22
बागपत,11099,144,21
बरेली,50176,377,20
जौनपरु,24550,244,20
ब र बकंी,23801,227,19
चदंौली,17687,381,19
सीत परु,15812,189,19
आजमगढ़,19502,237,18
गाजीपरु,23914,296,18
सलु्त नपरु,16916,144,17
अलीगढ,25619,113,16
अम्बडेकर नगर,5999,168,16
मह र जगजं,14944,146,16
आगरा,36090,465,15
श हजह ंपरु,24488,446,15
प्रतापगढ़,16825,163,14
फरु्रख ब द,11890,197,13
बद य,17936,101,12
बललय,22524,246,12
