"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109743","35","107431","2277"
"2","SAS Nagar","95655","36","94474","1145"
"3","Jalandhar","78248","22","76648","1578"
"4","Patiala","62008","12","60539","1457"
"5","Amritsar","59384","11","57691","1682"
"6","Bathinda","50845","2","49755","1088"
"7","Hoshiarpur","40817","28","39694","1095"
"8","Gurdaspur","26928","7","26058","863"
"9","Pathankot","24514","26","23993","495"
"10","Fazilka","23364","12","22807","545"
"11","Muktsar","22542","3","22001","538"
"12","Kapurthala","22020","11","21430","579"
"13","Ropar","17932","3","17474","455"
"14","Ferozepur","17890","4","17355","531"
"15","Mansa","17226","0","16834","392"
"16","Faridkot","16731","9","16384","338"
"17","Sangrur","14306","1","13570","735"
"18","SBS Nagar","13392","3","12982","407"
"19","FG Sahib","11831","2","11475","354"
"20","Moga","10983","4","10725","254"
"21","Tarn Taran","10889","8","10487","394"
"22","Barnala","7489","18","7126","345"
"23","Malerkotla","3967","1","3790","176"
"","Total","758704","258","740723","17723"
