"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","724","110500","533","108022","14","2293","185"
"2","SAS Nagar","1234","96923","924","95457","7","1155","311"
"3","Jalandhar","330","78600","236","76936","3","1581","83"
"4","Patiala","467","62488","362","60934","1","1458","96"
"5","Amritsar","196","59593","156","57864","2","1684","45"
"6","Bathinda","241","51109","121","49899","0","1088","122"
"7","Hoshiarpur","112","40952","103","39835","0","1096","21"
"8","Gurdaspur","64","27003","45","26118","1","865","20"
"9","Pathankot","117","24641","86","24119","0","495","27"
"10","Fazilka","81","23477","75","22914","0","545","18"
"11","Muktsar","30","22584","25","22035","0","539","10"
"12","Kapurthala","83","22113","66","21518","1","583","12"
"13","Ropar","88","18026","63","17546","0","455","25"
"14","Ferozepur","60","17959","46","17406","1","538","15"
"15","Mansa","47","17275","23","16859","1","393","23"
"16","Faridkot","115","16898","91","16532","0","338","28"
"17","Sangrur","30","14339","18","13591","0","735","13"
"18","SBS Nagar","39","13441","34","13022","0","409","10"
"19","FG Sahib","99","11932","68","11548","0","354","30"
"20","Moga","23","11010","17","10748","1","255","7"
"21","Tarn Taran","23","10919","12","10517","0","394","8"
"22","Barnala","18","7515","16","7159","0","349","7"
"23","Malerkotla","15","3983","13","3804","0","176","3"
"","Total","4236","763280","3133","744383","32","17778","1119"
