"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","95902","6478","87285","2139"
"2","SAS Nagar","77691","6741","69870","1080"
"3","Jalandhar","67986","2880","63598","1508"
"4","Patiala","57653","4061","52206","1386"
"5","Amritsar","51443","3020","46818","1605"
"6","Bathinda","44551","2364","41134","1053"
"7","Hoshiarpur","33325","1973","30345","1007"
"8","Gurdaspur","24128","1274","22043","811"
"9","Pathankot","21811","1520","19852","439"
"10","Fazilka","20673","332","19809","532"
"11","Muktsar","19229","396","18308","525"
"12","Kapurthala","19210","1031","17623","556"
"13","Sangrur","16499","524","15095","880"
"14","Mansa","15957","319","15256","382"
"15","Ferozepur","15105","559","14042","504"
"16","Faridkot","14470","417","13732","321"
"17","Ropar","14453","1177","12848","428"
"18","SBS Nagar","11981","394","11197","390"
"19","FG Sahib","10325","796","9187","342"
"20","Moga","9096","324","8537","235"
"21","Tarn Taran","8723","616","7725","382"
"22","Barnala","6338","350","5739","249"
"","Total","656549","37546","602249","16754"
