"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","615","2578","5880"
"Kollam","496","501","2170"
"Pathanamthitta","293","387","2172"
"Alappuzha","338","545","3447"
"Kottayam","655","710","6142"
"Idukki","301","619","4040"
"Ernakulam","1041","2048","10859"
"Thrissur","479","595","5196"
"Palakkad","247","376","2017"
"Malappuram","264","636","3119"
"Kozhikode","448","996","4163"
"Wayanad","222","204","2363"
"Kannur","206","514","1470"
"Kasaragod","86","187","559"
"Total","5691","10896","53597"
