,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-16,DL,Central Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
1,1,2021-12-16,DL,East Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
2,2,2021-12-16,DL,New Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
3,3,2021-12-16,DL,North Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
4,4,2021-12-16,DL,North East Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
5,5,2021-12-16,DL,North West Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
6,6,2021-12-16,DL,Shahdara,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
7,7,2021-12-16,DL,South Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
8,8,2021-12-16,DL,South East Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
9,9,2021-12-16,DL,South West Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
10,10,2021-12-16,DL,West Delhi,,,,,,,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
11,11,2021-12-16,DL,Unknown,,,,1441935.0,25100.0,1416360.0,,2021-12-17 10:50:20.321917,,,,1441935,25100,1416360,31818632
