"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
30-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","11","181712","180724[12]","99.46","924","64","2499","8277","3854407"
"2","Faridabad","3","99948","99203[1]","99.25","717","28","2540","8459","2729860"
"3","Hisar","0","53998","52860","97.89","1136","2","1053","4841","1431838"
"4","Sonepat","0","47143","46885","99.45","254","4","1605","6055","1539418"
"5","Karnal","0","40041","39488","98.62","552","1","1378","4407","1585660"
"6","Panipat","0","31153","30515","97.95","638","0","2131","5457","1255937"
"7","Panchkula","1","30832","30426[5]","98.68","379","27","330","1505","795985"
"8","Ambala","0","30150","29641","98.31","509","0","810","5229","1574283"
"9","Sirsa","0","29283","28775","98.27","508","0","1630","4311","1192998"
"10","Rohtak","0","25916","25364","97.87","534","1","1856","2685","1090745"
"11","Yamunanagar","1","24644","24223","98.29","414","7","607","3898","1249724"
"12","Bhiwani","0","22410","21757","97.09","652","1","856","5234","1213896"
"13","Kurukshetra","1","22153","21794","98.38","357","2","733","3485","935588"
"14","Mahindergarh","0","21689","21534","99.29","155","0","547","2908","930279"
"15","Jind","0","21210","20677","97.49","533","0","1104","4543","1064226"
"16","Rewari","0","20329","20108","98.91","221","0","757","3422","1047358"
"17","Jhajjar","0","18850","18516","98.23","328","0","774","2889","1088922"
"18","Fatehabad","0","17880","17398","97.30","482","0","612","2758","834434"
"19","Kaithal","0","11247","10899","96.91","346","2","1333","4722","966444"
"20","Palwal","0","11028","10875[1]","98.61","153","0","3895","5394","966105"
"21","Charkhi Dadri","0","5079","4939","97.24","139","1","281","1488","668347"
"22","Nuh","0","5014","4891","97.55","123","0","10873","1750","688763"
"Total","","17","771709","761492[19]","98.68","10054","140","38204","93717","28705217"
