,Unnamed: 0,44,Unnamed: 1,गाजीपरु,Unnamed: 2,4,Unnamed: 3,5,Unnamed: 4,23736,Unnamed: 5,0,Unnamed: 6,293,Unnamed: 7,99,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,कुशीनगर,,8.0,,5.0,,16070.0,,0.0,,235.0,,89.0,,,,,
1,,46,,प्रतापगढ़,,12.0,,5.0,,16559.0,,0.0,,163.0,,82.0,,,,,
2,,47,,बबजनौर,,9.0,,6.0,,18170.0,,0.0,,139.0,,80.0,,,,,
3,,48,,मरुादाबाद,,9.0,,12.0,,45969.0,,0.0,,366.0,,77.0,,,,,
4,,49,,ब द,,5.0,,4.0,,11905.0,,0.0,,165.0,,75.0,,,,,
5,,50,,अयोध्य,,13.0,,13.0,,18543.0,,0.0,,290.0,,72.0,,,,,
6,,51,,फर्रख ब द,,8.0,,1.0,,11786.0,,0.0,,197.0,,67.0,,,,,
7,,52,,इट व,,5.0,,4.0,,15658.0,,0.0,,296.0,,65.0,,,,,
8,,53,,मर्रु,,6.0,,14.0,,25413.0,,0.0,,406.0,,64.0,,,,,
9,,54,,चदौली,,4.0,,2.0,,17429.0,,0.0,,376.0,,63.0,,,,,
10,,55,,हमीरपरु,,12.0,,6.0,,5904.0,,0.0,,102.0,,61.0,,,,,
11,,56,,सहारनपरु,,4.0,,9.0,,38245.0,,0.0,,426.0,,59.0,,,,,
12,,57,,बस्ती,,7.0,,8.0,,12686.0,,0.0,,336.0,,57.0,,,,,
13,,58,,औरैय्य,,1.0,,7.0,,10704.0,,0.0,,210.0,,49.0,,,,,
14,,59,,बागपत,,14.0,,6.0,,10960.0,,0.0,,140.0,,46.0,,,,,
15,,60,,कौश म्बी,,4.0,,16.0,,4771.0,,0.0,,72.0,,44.0,,,,,
16,,61,,सभल,,2.0,,3.0,,10973.0,,0.0,,109.0,,42.0,,,,,
17,,62,,महोब,,5.0,,9.0,,4406.0,,0.0,,88.0,,41.0,,,,,
18,,63,,शामली,,4.0,,13.0,,16610.0,,0.0,,48.0,,41.0,,,,,
19,,64,,मनैपरुी,,1.0,,3.0,,11395.0,,0.0,,189.0,,40.0,,,,,
20,,65,,एट,,2.0,,1.0,,12028.0,,0.0,,100.0,,35.0,,,,,
21,,66,,र मपरु,,1.0,,10.0,,14560.0,,1.0,,153.0,,34.0,,,,,
22,,67,,मऊ,,0.0,,5.0,,8888.0,,0.0,,85.0,,31.0,,,,,
23,,68,,सत कबीर नगर,,1.0,,1.0,,8783.0,,0.0,,101.0,,31.0,,,,,
24,,69,,बललय,,4.0,,1.0,,22477.0,,0.0,,245.0,,27.0,,,,,
25,,70,,चचत्रकट,,2.0,,3.0,,7697.0,,0.0,,79.0,,26.0,,,,,
26,,71,,लमर् परु,,1.0,,6.0,,11903.0,,0.0,,121.0,,25.0,,,,,
27,,72,,बलर मपरु,,2.0,,2.0,,8049.0,,0.0,,139.0,,23.0,,,,,
28,,73,,क्रिरोजाबाद,,1.0,,6.0,,10471.0,,0.0,,136.0,,22.0,,,,,
29,,74,,ह र्रस,,3.0,,0.0,,3687.0,,0.0,,43.0,,21.0,,,,,
30,,75,,क सगज,,2.0,,0.0,,4840.0,,0.0,,55.0,,15.0,,,,,
31,,Total,,,,,,,1235.0,,1501.0,,2022056.0,,2.0,,23399.0,,13945.0,,
32,,कोविड धनात्मक रोवियो ने कुल मृतु्य - 23399 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
