"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on   
3-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","5","181447","180469[7]","99.46","922","56","810","2634","3586539"
"2","Faridabad","1","99907","99171[6]","99.26","716","20","875","1549","2509297"
"3","Hisar","0","53995","52858[1]","97.89","1136","1","366","855","1329968"
"4","Sonepat","0","47138","46884","99.46","254","0","893","1904","1409088"
"5","Karnal","0","40037","39484","98.62","552","1","326","2001","1458450"
"6","Panipat","0","31150","30511","97.95","638","1","341","593","1109558"
"7","Panchkula","1","30773","30382[1]","98.73","378","13","201","883","740379"
"8","Ambala","0","30150","29641[1]","98.31","509","0","267","2913","1452985"
"9","Sirsa","0","29282","28774","98.27","508","0","369","747","1067815"
"10","Rohtak","0","25903","25351","97.87","534","1","945","1616","987348"
"11","Yamunanagar","0","24631","24217","98.32","414","0","547","1063","1176105"
"12","Bhiwani","0","22409","21757","97.09","652","0","426","2145","1068422"
"13","Kurukshetra","0","22148","21790","98.38","357","1","164","574","861185"
"14","Mahindergarh","0","21689","21534","99.29","155","0","348","814","845378"
"15","Jind","0","21209","20675","97.48","533","1","1111","2106","963130"
"16","Rewari","0","20327","20106","98.91","221","0","211","691","945857"
"17","Jhajjar","0","18849","18514","98.22","328","1","849","1875","984753"
"18","Fatehabad","0","17875","17394","97.31","481","0","66","304","777642"
"19","Kaithal","0","11244","10898","96.92","346","0","349","1158","836766"
"20","Palwal","0","11025","10872","98.61","153","0","485","449","834875"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","85","1501","631217"
"22","Nuh","0","5014","4891","97.55","123","0","1271","200","439551"
"Total","","7","771280","761112[16]","98.68","10049","96","11305","28575","26016308"
