"S. No","Subject","Number"
"1","Total Number of people vaccinated on 8th Sep","5,60,553"
"2","First Dose on 8th Sep","3,80,901"
"3","Second Dose on 8th Sep","1,79,652"
"4","Cumulative Vaccination till 8th Sep","4,45,62,274"
"5","Cumulative Vaccination First Dose","3,19,21,763"
"6","Cumulative Vaccination Second Dose","1,26,40,511"
"7","Number of CVC (Common Vaccination Centres)","3,176"
"8","Cumulative AEFI cases reported","3,796"
"9","Vaccine wastage","-7%"
