"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109758","21","107459","2278"
"2","SAS Nagar","95673","21","94504","1148"
"3","Jalandhar","78267","15","76674","1578"
"4","Patiala","62022","14","60551","1457"
"5","Amritsar","59389","4","57703","1682"
"6","Bathinda","50866","8","49770","1088"
"7","Hoshiarpur","40824","13","39715","1096"
"8","Gurdaspur","26935","7","26065","863"
"9","Pathankot","24523","20","24008","495"
"10","Fazilka","23381","18","22818","545"
"11","Muktsar","22548","8","22002","538"
"12","Kapurthala","22030","9","21442","579"
"13","Ropar","17934","3","17476","455"
"14","Ferozepur","17893","2","17354","537"
"15","Mansa","17228","2","16834","392"
"16","Faridkot","16769","38","16393","338"
"17","Sangrur","14307","1","13571","735"
"18","SBS Nagar","13393","2","12984","407"
"19","FG Sahib","11834","3","11477","354"
"20","Moga","10984","3","10727","254"
"21","Tarn Taran","10895","9","10492","394"
"22","Barnala","7493","5","7140","348"
"23","Malerkotla","3967","1","3790","176"
"","Total","758913","227","740949","17737"
