"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109682","54","107352","2276"
"2","SAS Nagar","95568","101","94323","1144"
"3","Jalandhar","78192","63","76552","1577"
"4","Patiala","61980","30","60493","1457"
"5","Amritsar","59352","29","57641","1682"
"6","Bathinda","50805","22","49695","1088"
"7","Hoshiarpur","40774","86","39595","1093"
"8","Gurdaspur","26909","18","26029","862"
"9","Pathankot","24478","47","23936","495"
"10","Fazilka","23333","31","22757","545"
"11","Muktsar","22534","14","21982","538"
"12","Kapurthala","21995","19","21397","579"
"13","Ropar","17921","19","17447","455"
"14","Ferozepur","17868","18","17319","531"
"15","Mansa","17226","3","16831","392"
"16","Faridkot","16711","12","16361","338"
"17","Sangrur","14304","1","13568","735"
"18","SBS Nagar","13386","7","12974","405"
"19","FG Sahib","11824","6","11464","354"
"20","Moga","10975","2","10719","254"
"21","Tarn Taran","10877","17","10466","394"
"22","Barnala","7480","19","7119","342"
"23","Malerkotla","3965","0","3789","176"
"","Total","758139","618","739809","17712"
