"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","98087","7348","88595","2144"
"2","SAS Nagar","80225","7836","71305","1084"
"3","Jalandhar","69805","4101","64193","1511"
"4","Patiala","58398","3474","53533","1391"
"5","Amritsar","52961","3988","47365","1608"
"6","Bathinda","45243","2760","41427","1056"
"7","Hoshiarpur","34093","2421","30662","1010"
"8","Gurdaspur","24547","1504","22231","812"
"9","Pathankot","22227","1602","20180","445"
"10","Fazilka","20854","479","19843","532"
"11","Kapurthala","19559","1152","17851","556"
"12","Muktsar","19410","542","18343","525"
"13","Sangrur","16693","596","15217","880"
"14","Mansa","16213","539","15291","383"
"15","Ferozepur","15341","521","14316","504"
"16","Ropar","14900","1248","13224","428"
"17","Faridkot","14645","497","13827","321"
"18","SBS Nagar","12194","592","11212","390"
"19","FG Sahib","10468","719","9407","342"
"20","Moga","9198","335","8626","237"
"21","Tarn Taran","8891","664","7845","382"
"22","Barnala","6508","511","5748","249"
"","Total","670460","43429","610241","16790"
