"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16948","16675","9","264"
"2","Chengalpattu","175231","172193","491","2547"
"3","Chennai","561709","551542","1519","8648"
"4","Coimbatore","253148","249651","988","2509"
"5","Cuddalore","64588","63622","90","876"
"6","Dharmapuri","28987","28649","57","281"
"7","Dindigul","33343","32648","43","652"
"8","Erode","107676","106495","470","711"
"9","Kallakurichi","31608","31379","19","210"
"10","Kancheepuram","76081","74656","159","1266"
"11","Kanyakumari","63110","61915","133","1062"
"12","Karur","24970","24479","127","364"
"13","Krishnagiri","44098","43662","78","358"
"14","Madurai","75675","74427","62","1186"
"15","Mayiladuthurai","23426","23099","8","319"
"16","Nagapattinam","21423","21045","17","361"
"17","Namakkal","54510","53666","327","517"
"18","Nilgiris","34424","34103","102","219"
"19","Perambalur","12138","11875","18","245"
"20","Pudukottai","30384","29945","18","421"
"21","Ramanathapuram","20674","20295","20","359"
"22","Ranipet","43675","42874","22","779"
"23","Salem","102421","100346","349","1726"
"24","Sivagangai","20507","20246","48","213"
"25","Tenkasi","27419","26920","13","486"
"26","Thanjavur","76431","75299","125","1007"
"27","Theni","43622","43093","6","523"
"28","Thirupathur","29467","28813","27","627"
"29","Thiruvallur","120793","118742","192","1859"
"30","Thiruvannamalai","55348","54625","50","673"
"31","Thiruvarur","42022","41515","45","462"
"32","Thoothukudi","56595","56133","50","412"
"33","Tirunelveli","49772","49287","50","435"
"34","Tiruppur","98534","97065","445","1024"
"35","Trichy","78861","77634","128","1099"
"36","Vellore","50470","49217","112","1141"
"37","Villupuram","46109","45710","41","358"
"38","Virudhunagar","46449","45867","33","549"
"39","Airport Surveillance 
(International)","1100","1055","44","1"
"40","Airport Surveillance 
(Domestic)","1087","1084","2","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,45,261","27,01,974","6,537","36,750"
