"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","6,537"
"2","Number of persons tested positive today in Tamil Nadu","612"
"","Passengers returned from other countries  by 
International airport tested positive today","Qatar-2 
UAE-1 
Ukraine-1"
"","Passengers returned from other states  by Domestic 
airport/ Road tested positive today","Delhi-1 
West Bengal-2"
"","Total","619"
"3","Total Number of persons tested positive till date","27,45,261"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,02,826/ 
5,71,30,470@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,02,613/ 
5,61,91,475"
"6","No. of Male / Female / Transgender tested positive today","369/250/0"
"7","No. of Male / Female / Transgender tested positive till date","16,02,382/11,42,841/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","318 (69 Govt+ 
249 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","638/ 
27,01,974"
"10","Total number of deaths today/ till date","6(2 Private &  
4 Govt) /36,750)"
