"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35195","0","34854","8","0","333","0"
"2","Ballari","21","97944","0","96061","196","0","1687","0"
"3","Belagavi","64","80320","5","79134","238","0","948","0"
"4","Bengaluru Rural","25","62237","5","61249","96","0","892","0"
"5","Bengaluru Urban","4324","1276374","172","1241046","18913","1","16414","1"
"6","Bidar","3","24363","0","23944","11","0","404","4"
"7","Chamarajanagara","2","33130","1","32604","11","0","504","11"
"8","Chikkaballapura","20","44044","0","43571","40","0","432","1"
"9","Chikkamagaluru","9","51499","3","51048","53","0","398","0"
"10","Chitradurga","4","36797","1","36556","29","0","212","0"
"11","Dakshina 
Kannada","106","116837","11","114598","536","0","1696","7"
"12","Davanagere","3","51047","4","50418","21","0","608","0"
"13","Dharwada","48","61663","3","60165","171","0","1325","2"
"14","Gadag","11","26094","0","25755","20","0","319","0"
"15","Hassana","47","112450","10","111013","172","0","1263","2"
"16","Haveri","0","21961","0","21318","0","0","643","0"
"17","Kalaburagi","25","62087","0","61153","111","0","823","0"
"18","Kodagu","19","37856","1","37341","176","0","338","1"
"19","Kolara","14","47225","10","46506","76","0","643","0"
"20","Koppala","0","35211","0","34672","11","0","528","0"
"21","Mandya","66","74128","2","73274","197","0","657","0"
"22","Mysuru","65","180510","6","177808","274","0","2428","0"
"23","Raichuru","0","39997","0","39659","5","0","333","0"
"24","Ramanagara","3","24238","0","23898","17","0","323","0"
"25","Shivamogga","16","69791","6","68581","120","0","1090","0"
"26","Tumakuru","20","121441","4","120173","124","0","1144","0"
"27","Udupi","92","77515","17","76589","435","0","491","0"
"28","Uttara Kannada","13","56718","8","55883","57","0","778","0"
"29","Vijayapura","11","36344","2","35797","52","0","495","0"
"30","Yadagiri","0","27551","0","27342","3","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","5031","3022603","271","2962043","22173","1","38358","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
 
Date: 06-01-2022  
 Page 5 of 8","","","","","","","","",""
