"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","242","438","222862","0","12192","235054","202"
"Bageshwar","191","23","196962","0","5764","202726","347"
"Chamoli","330","173","271967","1","12243","284210","749"
"Champawat","152","390","225133","0","7604","232737","497"
"Dehradun","4846","4136","1793619","2","112387","1906006","2116"
"Haridwar","2205","1789","2026104","0","51504","2077608","1011"
"Nainital","1155","622","515943","0","39238","555181","950"
"Pauri Garhwal","626","594","366900","0","17687","384587","531"
"Pithoragarh","157","16","206751","0","10263","217014","307"
"Rudraprayag","305","132","184352","0","8800","193152","612"
"Tehri Garhwal","146","36","290072","0","15836","305908","255"
"US Nagar","582","768","874502","0","37876","912378","426"
"Uttarkashi","295","285","325209","0","12551","337760","765"
"Total","11232","9402","7500376","3","343945","7844321","8768"
