"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","0","0","2050","17","1","0"
"East Jaintia Hills","0","0","0","2627","38","0","0"
"East Khasi Hills","9","3","0","47150","1075","15","1"
"Eastern West Khasi Hills","0","0","0","141","8","0","0"
"North Garo Hills","0","0","0","1881","9","0","0"
"Ri-Bhoi","0","0","0","10352","99","14","2"
"South Garo Hills","0","0","0","1343","13","0","0"
"South West Garo Hills","0","0","0","2094","20","0","0"
"South West Khasi Hills","0","0","0","2701","20","0","0"
"West Garo Hills","19","0","0","10760","80","35","6"
"West Jaintia Hills","0","1","0","7193","139","0","0"
"West Khasi Hills","0","0","0","5655","76","0","0"
"Total","28","4","0","93947","1594","65","9"
