"District Name","New 
Cases","New 
Recoveries","New 
Deaths","Total 
Cases","Total 
Deaths","Total 
Active 
Cases","Number of 
persons 
hospitalised"
"East Garo Hills","0","1","0","2046","17","0","0"
"East Jaintia Hills","0","1","0","2614","38","4","0"
"East Khasi Hills","1","0","0","47055","1074","17","5"
"Eastern West Khasi Hills","0","0","0","140","8","0","0"
"North Garo Hills","0","1","0","1880","9","1","0"
"Ri-Bhoi","3","2","0","10304","97","6","0"
"South Garo Hills","0","1","0","1343","13","2","0"
"South West Garo Hills","1","0","0","2091","20","2","0"
"South West Khasi Hills","0","2","0","2697","20","1","0"
"West Garo Hills","0","1","0","10718","80","10","3"
"West Jaintia Hills","1","2","0","7185","139","8","0"
"West Khasi Hills","1","2","0","5648","76","4","0"
"Total","7","13","0","93721","1591","55","8"
