"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40681","0","40313","1","0","367","0"
"2","Ballari","0","115517","0","113735","17","0","1763","2"
"3","Belagavi","0","100137","0","99124","10","0","1001","2"
"4","Bengaluru Rural","0","79277","0","78362","8","0","907","0"
"5","Bengaluru 
Urban**","57","1781913","44","1763599","1351","0","16962","1"
"6","Bidar","0","29807","1","29383","0","0","420","4"
"7","Chamarajanagara","0","43618","0","43082","1","0","524","11"
"8","Chikkaballapura","0","55626","0","55164","1","0","460","1"
"9","Chikkamagaluru","0","57245","0","56839","0","0","406","0"
"10","Chitradurga","1","46345","0","46100","6","0","239","0"
"11","Dakshina 
Kannada","1","135492","1","133636","6","0","1840","10"
"12","Davanagere","1","57535","0","56911","1","0","623","0"
"13","Dharwada","1","84071","0","82679","1","0","1384","7"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","0","143859","0","142550","0","0","1307","2"
"16","Haveri","0","26839","0","26170","0","0","669","0"
"17","Kalaburagi","0","76605","0","75720","5","0","880","0"
"18","Kodagu","0","49264","0","48911","0","0","352","1"
"19","Kolara","0","62999","0","62335","0","0","664","0"
"20","Koppala","0","41281","0","40743","0","0","538","0"
"21","Mandya","0","101483","0","100772","0","0","711","0"
"22","Mysuru","1","229461","0","226900","3","0","2558","0"
"23","Raichuru","0","45448","0","45084","0","0","364","0"
"24","Ramanagara","0","29807","4","29460","0","0","347","0"
"25","Shivamogga","0","83324","0","82181","14","0","1128","1"
"26","Tumakuru","0","159839","0","158621","0","0","1218","0"
"27","Udupi","1","95606","1","95059","1","0","546","0"
"28","Uttara Kannada","0","71164","0","70355","0","0","809","0"
"29","Vijayapura","0","40997","0","40478","0","0","519","0"
"30","Yadagiri","0","29964","0","29751","1","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","63","3945823","51","3904298","1427","0","40056","42"
"*
   
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today.  
** Death report reconciled with Bengaluru Urban district. 
 
 
Date: 07-04-2022 
Page 5 of 6","","","","","","","","",""
