"S.No.","जनपद का नाम","विगत 24 घंटों की 
अिधि में  संसूधित 
पुष्ट रोगी","विगत 24 घंटों की 
अिधि में  संसूधित 
डिस्िाजज","आज तक कु ल 
डिस्िाजज","विगत 24 घंटों की 
अिधि में  संसूधित 
मृत्यु","कोविि 
िनात्मक 
रोधगयों में 
क
ु ल मृत्यु *","ितजमान में कु ल 
सक्रिय के सेज की 
संख्या"
"1","लखनऊ","5","3","236255","0","2651","55"
"2","गौतम बुि नगर","13","6","63000","0","468","54"
"3","गाज़ियाबाद","9","1","55246","0","461","40"
"4","प्रयागराज","0","0","77638","0","1088","14"
"5","िाराणसी","0","0","84534","0","971","13"
"6","मुजफ्फरनगर","0","5","30743","0","269","10"
"7","झााँसी","3","0","35896","0","663","9"
"8","सहारनपुर","1","0","32327","0","420","8"
"9","कानपुर नगर","0","0","81038","0","1905","7"
"10","मेरठ","0","0","68589","0","898","6"
"11","आगरा","0","0","25314","0","457","5"
"12","द
ेवररया","0","0","20006","0","221","5"
"13","हमीरपुर","0","1","5132","0","102","5"
"14","अमरोहा","0","1","16414","0","203","4"
"15","महाराजगंज","0","0","12301","0","140","4"
"16","मथुरा","4","0","19917","0","402","4"
"17","अलीगढ","0","0","21174","0","109","3"
"18","बरेली","0","0","43668","0","377","3"
"19","कानपुर देहात","0","0","6088","0","110","3"
"20","राय बरेली","1","0","16766","0","343","3"
"21","रामपुर","0","0","11676","0","148","3"
"22","फतेहपुर","0","0","6677","0","139","2"
"23","कन्नौज","0","0","9114","0","115","2"
"24","लखीमपुर-खीरी","0","0","24123","0","292","2"
"25","लललतपुर","1","0","12621","0","128","2"
"26","सोनभद्र","0","0","16560","0","251","2"
"27","उन्नाव","0","1","14763","0","254","2"
"28","बागपत","0","0","8993","0","141","1"
"29","बललया","0","0","21376","0","234","1"
"30","बलरामपुर","0","0","7356","0","138","1"
"31","भदोही","0","0","7557","0","163","1"
"32","बबजनौर","0","0","14668","0","126","1"
"33","बुलंदशहर","0","0","19975","0","244","1"
"34","चंदौली","0","0","15852","0","357","1"
"35","फर्रु खाबाद","0","0","10155","0","194","1"
"36","गोरखपुर","1","0","58598","0","848","1"
"37","मुरादाबाद","0","0","38753","0","349","1"
"38","संभल","0","0","9332","0","106","1"
"39","शाहजहांपुर","0","0","19918","0","444","1"
"40","अम्बेडकर नगर","0","0","4888","0","152","0"
"41","अमेठी","0","0","9830","0","143","0"
"42","औरैय्या","0","0","9890","0","203","0"
"43","अयोध्या","0","0","16629","0","290","0"
