,Unnamed: 0,44,Unnamed: 1,आजमगढ़,Unnamed: 2,0,Unnamed: 3,0.1,Unnamed: 4,17678,Unnamed: 5,0.2,Unnamed: 6,228,Unnamed: 7,0.3,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
0,,45,,बदाय,,0.0,,0.0,,14844.0,,0.0,,98.0,,0.0,,,,,
1,,46,,बादा,,0.0,,0.0,,10832.0,,0.0,,161.0,,0.0,,,,,
2,,47,,बाराबकंी,,0.0,,0.0,,19626.0,,0.0,,225.0,,0.0,,,,,
3,,48,,बस्ती,,0.0,,0.0,,11388.0,,0.0,,330.0,,0.0,,,,,
4,,49,,बहराइच,,0.0,,0.0,,11372.0,,0.0,,178.0,,0.0,,,,,
5,,50,,चचत्रकट,,0.0,,0.0,,7031.0,,0.0,,79.0,,0.0,,,,,
6,,51,,एटा,,0.0,,0.0,,9869.0,,0.0,,99.0,,0.0,,,,,
7,,52,,इटावा,,0.0,,0.0,,13640.0,,0.0,,293.0,,0.0,,,,,
8,,53,,क्रिरोजाबाद,,0.0,,0.0,,8586.0,,0.0,,135.0,,0.0,,,,,
9,,54,,गाजीपरु,,0.0,,2.0,,21369.0,,0.0,,283.0,,0.0,,,,,
10,,55,,गोंडा,,0.0,,0.0,,12012.0,,0.0,,271.0,,0.0,,,,,
11,,56,,हापड़ु,,0.0,,0.0,,12423.0,,0.0,,217.0,,0.0,,,,,
12,,57,,हरदोई,,0.0,,0.0,,13408.0,,0.0,,349.0,,0.0,,,,,
13,,58,,हाथरस,,0.0,,0.0,,2877.0,,0.0,,43.0,,0.0,,,,,
14,,59,,जालौन,,0.0,,0.0,,11489.0,,0.0,,202.0,,0.0,,,,,
15,,60,,जौनपरु,,0.0,,0.0,,22350.0,,0.0,,235.0,,0.0,,,,,
16,,61,,कासगजं,,0.0,,0.0,,4197.0,,0.0,,53.0,,0.0,,,,,
17,,62,,कौशाम्बी,,0.0,,0.0,,4356.0,,0.0,,70.0,,0.0,,,,,
18,,63,,कुशीनगर,,0.0,,0.0,,15389.0,,0.0,,228.0,,0.0,,,,,
19,,64,,महोबा,,0.0,,0.0,,4182.0,,0.0,,86.0,,0.0,,,,,
20,,65,,मनैपरुी,,0.0,,0.0,,9851.0,,0.0,,182.0,,0.0,,,,,
21,,66,,मऊ,,0.0,,0.0,,8253.0,,0.0,,80.0,,0.0,,,,,
22,,67,,लमर्ाुपरु,,0.0,,0.0,,10973.0,,0.0,,116.0,,0.0,,,,,
23,,68,,पीलीभीत,,0.0,,0.0,,10839.0,,0.0,,193.0,,0.0,,,,,
24,,69,,प्रतापगढ़,,0.0,,0.0,,15875.0,,0.0,,163.0,,0.0,,,,,
25,,70,,सतं कबीर नगर,,0.0,,0.0,,8064.0,,0.0,,98.0,,0.0,,,,,
26,,71,,शामली,,0.0,,0.0,,12932.0,,0.0,,45.0,,0.0,,,,,
27,,72,,श्रावस्ती,,0.0,,0.0,,4353.0,,0.0,,35.0,,0.0,,,,,
28,,73,,लसद्धाथ ुनगर,,0.0,,0.0,,9275.0,,0.0,,100.0,,0.0,,,,,
29,,74,,सीतापरु,,0.0,,0.0,,12214.0,,0.0,,185.0,,0.0,,,,,
30,,75,,सलु्तानपरु,,0.0,,0.0,,14780.0,,0.0,,138.0,,0.0,,,,,
31,,Total,,,,,,,38.0,,20.0,,1687677.0,,0.0,,22915.0,,282.0,,
32,,* कोविड धनात्मक रोवियो ने कुल मृतु्य - 22915 इन रोवियो म मृतु्य का सही कारण मृतु्य ऑवडट के उपरात वनधाररत होिा),,,,,,,,,,,,,,,,,,,
