"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","1509","111985","1208","108697","20","2999","289"
"2","SAS Nagar","2492","98181","1857","96390","11","1159","632"
"3","Jalandhar","962","79227","616","76954","4","1944","329"
"4","Patiala","954","63034","712","61095","1","1712","227"
"5","Amritsar","473","60028","350","58058","2","1842","128"
"6","Bathinda","619","51486","381","49824","1","1424","238"
"7","Hoshiarpur","269","41411","205","39937","4","1404","70"
"8","Gurdaspur","153","27080","125","26198","2","866","16"
"9","Pathankot","252","24765","181","24196","0","517","52"
"10","Fazilka","166","23600","160","22963","0","621","16"
"11","Muktsar","78","22630","60","22070","0","539","21"
"12","Kapurthala","179","22208","139","21581","1","593","34"
"13","Ropar","311","18249","215","17698","1","456","95"
"14","Ferozepur","162","18055","130","17490","2","539","26"
"15","Mansa","119","17344","92","16928","1","393","23"
"16","Faridkot","192","17027","174","16595","2","412","20"
"17","Sangrur","131","14565","78","13651","1","861","53"
"18","SBS Nagar","146","13548","109","13097","0","409","42"
"19","FG Sahib","283","12198","210","11690","1","437","71"
"20","Moga","62","11061","40","10771","2","268","22"
"21","Tarn Taran","43","10943","34","10539","0","398","6"
"22","Barnala","77","7577","70","7208","0","357","12"
"23","Malerkotla","31","4035","26","3817","1","213","5"
"","Total","9663","770237","7172","747447","57","20363","2427"
