"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","20224","19940","17","267"
"2","Chengalpattu","251556","248638","260","2658"
"3","Chennai","788135","776909","2157","9069"
"4","Coimbatore","339337","336228","491","2618"
"5","Cuddalore","75674","74682","97","895"
"6","Dharmapuri","36778","36468","27","283"
"7","Dindigul","38798","38054","79","665"
"8","Erode","135835","134899","202","734"
"9","Kallakurichi","36916","36697","4","215"
"10","Kancheepuram","97844","96507","34","1303"
"11","Kanyakumari","89436","88136","215","1085"
"12","Karur","30189","29787","30","372"
"13","Krishnagiri","61885","61373","140","372"
"14","Madurai","92918","91645","37","1236"
"15","Mayiladuthurai","27300","26906","64","330"
"16","Nagapattinam","25935","25533","27","375"
"17","Namakkal","69591","68953","104","534"
"18","Nilgiris","42765","42508","31","226"
"19","Perambalur","14890","14614","27","249"
"20","Pudukottai","35170","34728","16","426"
"21","Ramanathapuram","24984","24605","11","368"
"22","Ranipet","56134","55318","29","787"
"23","Salem","131149","129195","190","1764"
"24","Sivagangai","24999","24748","32","219"
"25","Tenkasi","33826","33320","16","490"
"26","Thanjavur","93418","92337","40","1041"
"27","Theni","51801","51249","19","533"
"28","Thirupathur","36057","35395","29","633"
"29","Thiruvallur","152943","150954","49","1940"
"30","Thiruvannamalai","68206","67490","31","685"
"31","Thiruvarur","48936","48443","20","473"
"32","Thoothukudi","67063","66597","18","448"
"33","Tirunelveli","65716","65222","49","445"
"34","Tiruppur","131781","130604","125","1052"
"35","Trichy","97770","96552","57","1161"
"36","Vellore","58039","56823","53","1163"
"37","Villupuram","56167","55754","46","367"
"38","Virudhunagar","59217","58614","48","555"
"39","Airport Surveillance 
(International)","1390","1386","3","1"
"40","Airport Surveillance 
(Domestic)","1166","1165","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","35,72,366","35,29,404","4,924","38,038"
