"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 30-07-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1  Gurugram","","221","897","288280","286371","[143] ↑  99.34%","1012","205","542","4248","5592334"
"2","Faridabad","41","324","133111","132046 
[52] ↑","99.20%","741","70","205","1173","4137813"
"3  Hisar","","35","123","62868","61569 
[19] ↑","97.93%","1176","254","696","914","2400759"
"4","Sonipat","8","49","59073","58748 
[4] ↑","99.45%","276","30","177","414","2329081"
"5","Karnal","31","226","49257","48434 
[54] ↑","98.33%","597","137","183","248","2434430"
"6","Panchkula","110","426","46701","45857 
[31] ↑","98.19%","418 [1] ↑","52","167","419","1161887"
"7","Ambala","35","256","41836","41038 
[29] ↑","98.09%","542","44","68","669","2183502"
"8","Panipat","7","57","36405","35674 
[3] ↑","97.99%","674","25","120","386","2102261"
"9","Sirsa","23","46","33799","33213 
[12] ↑","98.27%","540 [1] ↑","32","181","347","1968903"
"10  Rohtak","","10","117","32491","31820 
[22] ↑","97.93%","537","68","573","596","1781788"
"","11  Yamunanagar","51","125","31340","30759 
[47] ↑","98.15%","456","21","127","206","2011690"
"12  Kurukshetra","","27","139","27355","26815 
[24] ↑","98.03%","401","13","70","212","1600396"
"13  Bhiwani","","4","39","26759","26055 
[3] ↑","97.37%","665","9","256","598","1852717"
"","14  Mahendragarh","8","31","24859","24663","99.21%","165","7","115","406","1424815"
"15","Jind","28","98","24789","24149 
[20] ↑","97.42%","542","36","258","796","1758412"
"16  Rewari","","0","7","24753","24522","99.07%","224","29","84","760","1610122"
"17","Jhajjar","3","19","23689","23312 
[3] ↑","98.41%","352","75","142","420","1615772"
"18  Fatehabad","","0","13","20163","19652 
[1] ↑","97.47%","498","20","113","139","1203055"
"19  Kaithal","","39","126","14653","14156","96.61%","371","9","59","812","1836952"
"20  Palwal","","0","4","13552","13377","98.71%","171","42","46","65","1562169"
"","21  Charkhi Dadri","6","20","7551","7386 
[1] ↑","97.81%","145","87","94","270","930908"
"22  Nuh","","0","2","6139","5998 
[1] ↑","97.70%","139","2","0","19","1226008"
"HARYANA","","687","3144","1029423","1015614","[469] ↑  98.66%  10642 [2] ↑","","1267","4276","14117","44725774"
