"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35178","0","34843","2","0","333","0",""
"","2","Ballari","1","97763","3","95959","115","0","1689","0",""
"","3","Belagavi","9","79894","5","78878","78","0","938","0",""
"","4","Bengaluru Rural","3","62002","4","61070","42","0","890","0",""
"","5","Bengaluru Urban","166","1251735","100","1228855","6605","4","16274","1",""
"","6","Bidar","0","24340","3","23936","0","0","400","4",""
"","7","Chamarajanagara","1","33001","2","32465","25","0","500","11",""
"","8","Chikkaballapura","3","43949","0","43501","19","1","428","1",""
"","9","Chikkamagaluru","2","51123","3","50658","70","0","395","0",""
"","10","Chitradurga","1","36663","1","36409","48","0","206","0",""
"","11","Dakshina 
Kannada","21","115454","27","113495","272","1","1680","7",""
"","12","Davanagere","4","50987","2","50358","21","1","608","0",""
"","13","Dharwada","1","60970","1","59636","18","0","1314","2",""
"","14","Gadag","0","26066","0","25747","0","0","319","0",""
"","15","Hassana","13","111759","23","110266","235","1","1256","2",""
"","16","Haveri","0","21946","0","21300","2","1","644","0",""
"","17","Kalaburagi","1","61923","0","61087","17","0","819","0",""
"","18","Kodagu","9","37084","7","36609","145","0","329","1",""
"","19","Kolara","3","46914","4","46261","15","0","638","0",""
"","20","Koppala","0","35198","1","34660","17","0","521","0",""
"","21","Mandya","8","73745","4","73027","68","0","650","0",""
"","22","Mysuru","44","179134","18","176413","307","1","2414","0",""
"","23","Raichuru","0","39973","0","39640","2","0","331","0",""
"","24","Ramanagara","1","24204","1","23869","15","0","320","0",""
"","25","Shivamogga","9","69441","11","68239","114","0","1088","0",""
"","26","Tumakuru","19","120819","21","119408","284","0","1127","0",""
"","27","Udupi","14","76716","7","76175","52","0","489","0",""
"","28","Uttara Kannada","14","56212","7","55335","111","0","766","0",""
"","29","Vijayapura","0","36267","0","35764","8","0","495","0",""
"","30","Yadagiri","0","27545","0","27337","1","0","207","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","347","2988041","255","2941233","8708","10","38071","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 30-10-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
