,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,Alluri Sitharama Raju,0,0,0,0,2316685,14730,2304841,33478963
1,Anakapalli,0,0,0,0,2316685,14730,2304841,33478963
2,Anantapur,177611,0,0,0,2316685,14730,2304841,33478963
3,Annamayya,0,0,0,0,2316685,14730,2304841,33478963
4,Bapatla,0,0,0,0,2316685,14730,2304841,33478963
5,Chittoor,272394,0,0,0,2316685,14730,2304841,33478963
6,East Godavari,316586,0,0,0,2316685,14730,2304841,33478963
7,Eluru,0,0,0,0,2316685,14730,2304841,33478963
8,Guntur,203245,0,0,0,2316685,14730,2304841,33478963
9,Kakinada,0,0,0,0,2316685,14730,2304841,33478963
10,Konaseema,0,0,0,0,2316685,14730,2304841,33478963
11,Krishna,136896,0,0,0,2316685,14730,2304841,33478963
12,Kurnool,144244,0,0,0,2316685,14730,2304841,33478963
13,Nandyal,0,0,0,0,2316685,14730,2304841,33478963
14,NTR District,0,0,0,0,2316685,14730,2304841,33478963
15,Palnadu,0,0,0,0,2316685,14730,2304841,33478963
16,Parvathipuram Manyam,0,0,0,0,2316685,14730,2304841,33478963
17,Prakasam,155937,0,0,0,2316685,14730,2304841,33478963
18,S.P.S. Nellore,164374,0,0,0,2316685,14730,2304841,33478963
19,Sri Sathya Sai,0,0,0,0,2316685,14730,2304841,33478963
20,Srikakulam,133952,0,0,0,2316685,14730,2304841,33478963
21,Tirupati,0,0,0,0,2316685,14730,2304841,33478963
22,Visakhapatnam,190938,0,0,0,2316685,14730,2304841,33478963
23,Vizianagaram,92242,0,0,0,2316685,14730,2304841,33478963
24,West Godavari,193378,0,0,0,2316685,14730,2304841,33478963
25,Y.S.R. Kadapa,134888,0,0,0,2316685,14730,2304841,33478963
