"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","1,55,329"
"2","Number of persons tested positive today in Tamil Nadu","9,900"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 4 
Sri Lanka - 1"
"","Passengers returned from other states  by Road tested 
positive today","West Bengal - 6 
Andhra Pradesh - 4 
Uttar Pradesh - 1"
"","Total","9,916"
"3","Total Number of persons tested positive till date","33,97,238"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,27,356/ 
6,22,74,779@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,20,211/ 
6,11,68,370"
"6","No. of Male / Female / Transgender tested positive today","5,890/4,026/0"
"7","No. of Male / Female / Transgender tested positive till date","19,82,482/14,14,718/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","331 (69 Govt+ 
262 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","21,435/ 
32,04,213"
"10","Total number of deaths today/ till date","30(19 Private &  
11 Govt) /37,696"
