"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","40678","1","40308","3","0","367","0"
"2","Ballari","0","115506","1","113714","29","0","1761","2"
"3","Belagavi","2","100113","17","99079","31","0","1001","2"
"4","Bengaluru Rural","0","79272","1","78355","11","0","906","0"
"5","Bengaluru Urban","97","1780595","280","1761911","1738","2","16945","1"
"6","Bidar","0","29804","0","29380","0","0","420","4"
"7","Chamarajanagara","1","43615","3","43078","2","0","524","11"
"8","Chikkaballapura","2","55616","0","55146","10","0","459","1"
"9","Chikkamagaluru","1","57237","1","56825","6","0","406","0"
"10","Chitradurga","8","46285","11","45991","55","0","239","0"
"11","Dakshina 
Kannada","2","135457","3","133587","21","0","1839","10"
"12","Davanagere","0","57534","0","56906","5","0","623","0"
"13","Dharwad","4","84061","0","82659","15","0","1382","5"
"14","Gadag","0","30583","0","30248","0","0","335","0"
"15","Hassana","1","143856","0","142541","8","0","1305","2"
"16","Haveri","2","26838","0","26166","4","0","668","0"
"17","Kalaburagi","4","76596","7","75695","21","0","880","0"
"18","Kodagu","0","49260","0","48907","0","0","352","1"
"19","Kolara","0","62980","7","62313","3","0","664","0"
"20","Koppala","0","41281","0","40742","1","0","538","0"
"21","Mandya","0","101478","2","100765","2","0","711","0"
"22","Mysuru","17","229433","9","226829","46","0","2558","0"
"23","Raichuru","0","45446","5","45081","1","0","364","0"
"24","Ramanagara","1","29787","14","29434","6","0","347","0"
"25","Shivamogga","1","83316","15","82150","37","0","1128","1"
"26","Tumakuru","1","159823","7","158589","18","0","1216","0"
"27","Udupi","0","95589","2","95042","1","0","546","0"
"28","Uttara Kannada","0","71155","3","70339","7","0","809","0"
"29","Vijayapura","1","40995","0","40472","5","0","518","0"
"30","Yadagiri","0","29961","3","29743","6","0","212","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","145","3944186","392","3902028","2092","2","40026","40"
"*
   
Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today 
 
Date: 16-03-2022 
Page 5 of 8","","","","","","","","",""
