"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19**","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","2","35197","0","34854","10","0","333","0"
"2","Ballari","62","98006","1","96062","257","0","1687","0"
"3","Belagavi","114","80434","1","79135","351","0","948","0"
"4","Bengaluru Rural","74","62311","3","61252","167","0","892","0"
"5","Bengaluru Urban","6812","1283186","352","1241398","25370","3","16417","1"
"6","Bidar","20","24383","0","23944","31","0","404","4"
"7","Chamarajanagara","7","33137","0","32604","18","0","504","11"
"8","Chikkaballapura","21","44065","0","43571","61","0","432","1"
"9","Chikkamagaluru","24","51523","3","51051","74","0","398","0"
"10","Chitradurga","14","36811","1","36557","42","0","212","0"
"11","Dakshina 
Kannada","211","117048","33","114631","713","1","1697","7"
"12","Davanagere","18","51065","0","50418","39","0","608","0"
"13","Dharwada","66","61729","33","60198","204","0","1325","2"
"14","Gadag","10","26104","0","25755","30","0","319","0"
"15","Hassana","89","112539","8","111021","253","0","1263","2"
"16","Haveri","0","21961","0","21318","0","0","643","0"
"17","Kalaburagi","43","62130","3","61156","151","0","823","0"
"18","Kodagu","29","37885","7","37348","198","0","338","1"
"19","Kolara","98","47323","9","46515","165","0","643","0"
"20","Koppala","5","35216","0","34672","16","0","528","0"
"21","Mandya","129","74257","7","73281","319","0","657","0"
"22","Mysuru","219","180729","9","177817","484","0","2428","0"
"23","Raichuru","2","39999","0","39659","7","0","333","0"
"24","Ramanagara","20","24258","0","23898","37","0","323","0"
"25","Shivamogga","43","69834","3","68584","160","0","1090","0"
"26","Tumakuru","96","121537","8","120181","212","0","1144","0"
"27","Udupi","148","77663","17","76606","566","0","491","0"
"28","Uttara Kannada","36","56754","3","55886","90","0","778","0"
"29","Vijayapura","36","36380","4","35801","84","0","495","0"
"30","Yadagiri","1","27552","0","27342","4","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","8449","3031052","505","2962548","30113","4","38362","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
** Due to Technical issue in portal today's positives includes yesterday's cases 
 
 
Date: 07-01-2022  
 Page 5 of 8","","","","","","","","",""
