"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35180","2","34844","3","0","333","0"
"2","Ballari","1","97785","0","95981","118","0","1686","0"
"3","Belagavi","3","79946","5","78946","58","1","942","0"
"4","Bengaluru Rural","1","62063","2","61118","55","0","890","0"
"5","Bengaluru Urban","163","1254256","574","1231780","6161","2","16314","1"
"6","Bidar","0","24342","0","23937","0","0","401","4"
"7","Chamarajanagara","1","33024","3","32489","22","0","502","11"
"8","Chikkaballapura","3","43968","5","43527","9","0","431","1"
"9","Chikkamagaluru","3","51170","2","50726","48","0","396","0"
"10","Chitradurga","1","36693","3","36455","31","1","207","0"
"11","Dakshina 
Kannada","13","115691","8","113873","127","1","1684","7"
"12","Davanagere","1","50996","0","50375","13","0","608","0"
"13","Dharwada","1","61014","6","59669","25","1","1318","2"
"14","Gadag","0","26066","0","25747","0","0","319","0"
"15","Hassana","3","111946","4","110556","132","0","1256","2"
"16","Haveri","0","21947","0","21304","0","0","643","0"
"17","Kalaburagi","3","61947","2","61109","18","0","820","0"
"18","Kodagu","6","37172","4","36776","65","0","330","1"
"19","Kolara","6","46983","5","46290","58","0","635","0"
"20","Koppala","0","35198","0","34661","13","0","524","0"
"21","Mandya","0","73821","6","73130","37","0","654","0"
"22","Mysuru","19","179422","19","176879","123","0","2420","0"
"23","Raichuru","0","39979","0","39643","4","0","332","0"
"24","Ramanagara","0","24211","1","23878","12","0","321","0"
"25","Shivamogga","9","69497","0","68309","98","0","1090","0"
"26","Tumakuru","2","120946","7","119696","116","1","1134","0"
"27","Udupi","8","76811","4","76271","52","0","488","0"
"28","Uttara Kannada","8","56346","5","55487","88","0","771","0"
"29","Vijayapura","0","36274","0","35774","5","0","495","0"
"30","Yadagiri","0","27546","0","27338","2","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","255","2992276","667","2946601","7493","7","38153","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 16-11-2021 
 Page 5 of 8","","","","","","","","",""
