"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","100326","8185","89988","2153"
"2","SAS Nagar","82652","8579","72982","1091"
"3","Jalandhar","71155","4371","65266","1518"
"4","Patiala","59391","2838","55153","1400"
"5","Amritsar","54044","4129","48300","1615"
"6","Bathinda","46230","2899","42273","1058"
"7","Hoshiarpur","35244","2448","31783","1013"
"8","Gurdaspur","24944","1476","22652","816"
"9","Pathankot","22500","1143","20912","445"
"10","Fazilka","21082","675","19875","532"
"11","Kapurthala","19800","1135","18109","556"
"12","Muktsar","19652","665","18462","525"
"13","Sangrur","16848","537","15428","883"
"14","Mansa","16425","669","15373","383"
"15","Ferozepur","15772","704","14561","507"
"16","Ropar","15385","1271","13686","428"
"17","Faridkot","14899","609","13969","321"
"18","SBS Nagar","12425","614","11421","390"
"19","FG Sahib","10735","799","9593","343"
"20","Moga","9340","401","8702","237"
"21","Tarn Taran","9168","824","7961","383"
"22","Barnala","6647","534","5864","249"
"","Total","684664","45505","622313","16846"
