"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16866","16557","48","261"
"2","Chengalpattu","172033","168608","913","2512"
"3","Chennai","554981","545100","1324","8557"
"4","Coimbatore","247121","243455","1246","2420"
"5","Cuddalore","64135","63064","204","867"
"6","Dharmapuri","28471","28020","175","276"
"7","Dindigul","33110","32381","82","647"
"8","Erode","104506","103085","734","687"
"9","Kallakurichi","31400","31093","97","210"
"10","Kancheepuram","75059","73468","333","1258"
"11","Kanyakumari","62419","61166","203","1050"
"12","Karur","24161","23577","227","357"
"13","Krishnagiri","43618","43075","194","349"
"14","Madurai","75247","73921","151","1175"
"15","Mayiladuthurai","23290","22917","57","316"
"16","Nagapattinam","21106","20603","154","349"
"17","Namakkal","52386","51410","475","501"
"18","Nilgiris","33628","33220","195","213"
"19","Perambalur","12072","11796","32","244"
"20","Pudukottai","30209","29671","122","416"
"21","Ramanathapuram","20574","20180","36","358"
"22","Ranipet","43464","42590","99","775"
"23","Salem","100071","97791","594","1686"
"24","Sivagangai","20234","19896","131","207"
"25","Tenkasi","27368","26847","36","485"
"26","Thanjavur","75467","74024","467","976"
"27","Theni","43578","43030","27","521"
"28","Thirupathur","29323","28622","76","625"
"29","Thiruvallur","119467","117260","365","1842"
"30","Thiruvannamalai","55017","54175","174","668"
"31","Thiruvarur","41529","40831","252","446"
"32","Thoothukudi","56337","55800","128","409"
"33","Tirunelveli","49405","48842","130","433"
"34","Tiruppur","95608","93883","743","982"
"35","Trichy","77634","76156","418","1060"
"36","Vellore","49917","48594","191","1132"
"37","Villupuram","45890","45414","120","356"
"38","Virudhunagar","46306","45702","56","548"
"39","Airport Surveillance 
(International)","1028","1025","2","1"
"40","Airport Surveillance 
(Domestic)","1085","1083","1","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,05,548","26,58,360","11,012","36,176"
