"S. No","Subject","Number"
"1","Total Number of people vaccinated on 27th Dec","32,859"
"2","First Dose on 27th Dec","2,676"
"3","Second Dose on 27th Dec","30,183"
"4","Cumulative Vaccination till 27th Dec","10,16,37,297"
"5","Cumulative Vaccination First Dose","6,42,67,751"
"6","Cumulative Vaccination Second Dose","3,73,69,546"
"7","Number of CVC (Common Vaccination Centres)","1,069"
"8","Cumulative AEFI cases reported","6,136"
"9","Vaccine wastage","-7%"
