"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87942","199","85624","2119"
"2","SAS Nagar","69274","191","68008","1075"
"3","Jalandhar","63745","158","62086","1501"
"4","Patiala","49524","491","47669","1364"
"5","Amritsar","47519","61","45859","1599"
"6","Bathinda","41912","94","40769","1049"
"7","Hoshiarpur","31060","33","30029","998"
"8","Gurdaspur","22473","53","21616","804"
"9","Fazilka","20297","11","19755","531"
"10","Pathankot","19360","306","18620","434"
"11","Muktsar","18811","4","18283","524"
"12","Kapurthala","17944","35","17353","556"
"13","Sangrur","15789","16","14898","875"
"14","Mansa","15611","0","15230","381"
"15","Ferozepur","14489","7","13978","504"
"16","Faridkot","13964","5","13639","320"
"17","Ropar","13022","11","12583","428"
"18","SBS Nagar","11499","12","11097","390"
"19","FG Sahib","8938","25","8575","338"
"20","Moga","8695","10","8451","234"
"21","Tarn Taran","8092","13","7698","381"
"22","Barnala","5962","6","5710","246"
"","Total","605922","1741","587530","16651"
