,Unnamed: 0,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
0,0,2021-12-09,DL,Central Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
1,1,2021-12-09,DL,East Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
2,2,2021-12-09,DL,New Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
3,3,2021-12-09,DL,North Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
4,4,2021-12-09,DL,North East Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
5,5,2021-12-09,DL,North West Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
6,6,2021-12-09,DL,Shahdara,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
7,7,2021-12-09,DL,South Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
8,8,2021-12-09,DL,South East Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
9,9,2021-12-09,DL,South West Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
10,10,2021-12-09,DL,West Delhi,,,,,,,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
11,11,2021-12-09,DL,Unknown,,,,1441569.0,25100.0,1416083.0,,2021-12-10 11:07:24.572728,,,,1441569,25100,1416083,31436807
