"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","19893","19620","6","267"
"2","Chengalpattu","238857","234647","1552","2658"
"3","Chennai","759773","746836","3869","9068"
"4","Coimbatore","331026","327793","616","2617"
"5","Cuddalore","74321","73396","30","895"
"6","Dharmapuri","36211","35923","5","283"
"7","Dindigul","37490","36820","5","665"
"8","Erode","132777","131989","54","734"
"9","Kallakurichi","36531","36311","5","215"
"10","Kancheepuram","95072","93471","299","1302"
"11","Kanyakumari","86815","85372","358","1085"
"12","Karur","29781","29393","16","372"
"13","Krishnagiri","59707","59296","41","370"
"14","Madurai","91237","89888","113","1236"
"15","Mayiladuthurai","26520","26179","11","330"
"16","Nagapattinam","25461","25071","15","375"
"17","Namakkal","68065","67494","37","534"
"18","Nilgiris","42259","41973","60","226"
"19","Perambalur","14510","14223","38","249"
"20","Pudukottai","34493","34052","15","426"
"21","Ramanathapuram","24696","24317","11","368"
"22","Ranipet","54099","53205","107","787"
"23","Salem","127562","125699","101","1762"
"24","Sivagangai","23932","23652","61","219"
"25","Tenkasi","32814","32265","59","490"
"26","Thanjavur","92227","91143","44","1040"
"27","Theni","50652","50074","45","533"
"28","Thirupathur","35757","35112","12","633"
"29","Thiruvallur","148367","145946","482","1939"
"30","Thiruvannamalai","66893","66153","55","685"
"31","Thiruvarur","48053","47556","25","472"
"32","Thoothukudi","65214","64579","187","448"
"33","Tirunelveli","63055","62415","195","445"
"34","Tiruppur","130025","128918","55","1052"
"35","Trichy","95224","93900","163","1161"
"36","Vellore","57415","56196","56","1163"
"37","Villupuram","54626","54230","30","366"
"38","Virudhunagar","56981","56308","119","554"
"39","Airport Surveillance 
(International)","1336","1321","14","1"
"40","Airport Surveillance 
(Domestic)","1134","1129","4","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","34,71,289","34,24,293","8,970","38,026"
