"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","108177","3097","102861","2219"
"2","SAS Nagar","93132","4382","87629","1121"
"3","Jalandhar","76870","2178","73139","1553"
"4","Patiala","61548","563","59550","1435"
"5","Amritsar","58354","1719","54978","1657"
"6","Bathinda","49997","1473","47451","1073"
"7","Hoshiarpur","39685","1873","36763","1049"
"8","Gurdaspur","26521","582","25087","852"
"9","Pathankot","23840","576","22804","460"
"10","Fazilka","22676","1280","20860","536"
"11","Kapurthala","21513","577","20370","566"
"12","Muktsar","21399","766","20100","533"
"13","Sangrur","18072","253","16919","900"
"14","Ropar","17492","721","16338","433"
"15","Ferozepur","17389","509","16360","520"
"16","Mansa","17117","270","16458","389"
"17","Faridkot","16290","605","15356","329"
"18","SBS Nagar","13304","241","12667","396"
"19","FG Sahib","11649","248","11052","349"
"20","Moga","10625","655","9726","244"
"21","Tarn Taran","10569","771","9413","385"
"22","Barnala","7313","287","6772","254"
"","Total","743532","23626","702653","17253"
