,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2023-05-03,TT,Andaman and Nicobar Islands,,,,10766,129,10637,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
1,2023-05-03,TT,Andhra Pradesh,,,,2340573,14733,2325698,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
2,2023-05-03,TT,Arunachal Pradesh,,,,66938,296,66612,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
3,2023-05-03,TT,Assam,,,,746122,8035,738080,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
4,2023-05-03,TT,Bihar,,,,854304,12312,841166,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
5,2023-05-03,TT,Chandigarh,,,,100563,1185,99178,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
6,2023-05-03,TT,Chhattisgarh,,,,1186340,14179,1170187,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
7,2023-05-03,TT,Dadra and Nagar Haveli and Daman and Diu,,,,11592,4,11588,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
8,2023-05-03,TT,Delhi,,,,2039270,26633,2010249,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
9,2023-05-03,TT,Goa,,,,262453,4014,258142,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
10,2023-05-03,TT,Gujarat,,,,1290680,11074,1278660,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
11,2023-05-03,TT,Haryana,,,,1077487,10739,1063823,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
12,2023-05-03,TT,Himachal Pradesh,,,,321780,4238,316716,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
13,2023-05-03,TT,Jammu and Kashmir,,,,481685,4790,476609,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
14,2023-05-03,TT,Jharkhand,,,,443678,5333,437984,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
15,2023-05-03,TT,Karnataka,,,,4086658,40349,4045319,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
16,2023-05-03,TT,Kerala,,,,6896951,71843,6816094,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
17,2023-05-03,TT,Ladakh,,,,29569,231,29329,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
18,2023-05-03,TT,Lakshadweep,,,,11415,52,11363,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
19,2023-05-03,TT,Maharashtra,,,,8166207,148515,8014341,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
20,2023-05-03,TT,Manipur,,,,139964,2149,137806,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
21,2023-05-03,TT,Meghalaya,,,,96856,1626,95218,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
22,2023-05-03,TT,Mizoram,,,,239086,727,238281,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
23,2023-05-03,TT,Madhya Pradesh,,,,1056286,10786,1045337,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
24,2023-05-03,TT,Nagaland,,,,36003,782,35218,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
25,2023-05-03,TT,Odisha,,,,1345767,9213,1332185,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
26,2023-05-03,TT,Puducherry,,,,177359,1981,175270,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
27,2023-05-03,TT,Punjab,,,,791234,19318,770854,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
28,2023-05-03,TT,Rajasthan,,,,1325293,9703,1313217,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
29,2023-05-03,TT,Sikkim,,,,44640,500,44074,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
30,2023-05-03,TT,Tamil Nadu,,,,3609143,38071,3568793,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
31,2023-05-03,TT,Telangana,,,,843728,4111,839307,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
32,2023-05-03,TT,Tripura,,,,108096,940,107122,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
33,2023-05-03,TT,Uttar Pradesh,,,,2143313,23689,2117246,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
34,2023-05-03,TT,Uttarakhand,,,,452183,7764,444198,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
35,2023-05-03,TT,West Bengal,,,,2122734,21540,2099054,,,2023-05-03 17:55:22.280604,,,,44956716,531584,44384955,927056942,2206671072
