"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
(including 
Pvt. Lab)","Positive 
in last 24 
hours","Positive 
Cumulative 
(including 
Pvt. Lab)","",""
"Almora","515","512","237879","0","12242","250121","764"
"Bageshwar","718","30","212528","0","5767","218295","1261"
"Chamoli","538","200","291135","1","12252","303387","1037"
"Champawat","1515","1467","262102","3","7621","269723","833"
"Dehradun","2165","2276","1916497","25","112773","2029270","756"
"Haridwar","4834","4011","2198152","3","51596","2249748","1238"
"Nainital","1973","1299","570306","10","39386","609692","1198"
"Pauri Garhwal","1019","1188","407803","0","17741","425544","867"
"Pithoragarh","1167","90","228157","0","10301","238458","2669"
"Rudraprayag","553","310","199342","0","8806","208148","1109"
"Tehri Garhwal","478","439","304733","1","15847","320580","655"
"US Nagar","2918","2597","954342","1","37948","992290","576"
"Uttarkashi","484","44","342089","0","12563","354652","900"
"Total","18877","14463","8125065","44","344843","8469908","13863"
