"Districts","No. of Positive 
Cases Since 
01.01.2022","No. of Positive Cases 
Treated/ Cured Since 
01.01.2022","Active Cases in the 
District","Deaths Since 
01.01.2022","Migrated Positive 
Cases Since 
01.01.2022"
"Almora","4445","4004","61","4","376"
"Bageshwar","2073","1978","9","0","86"
"Chamoli","3172","2993","72","3","104"
"Champawat","1872","1792","59","1","20"
"Dehradun","32494","31639","327","165","363"
"Haridwar","12866","12507","102","23","234"
"Nainital","11235","11117","52","29","37"
"Pauri Garhwal","5211","4120","110","17","964"
"Pithoragarh","2530","2334","59","4","133"
"Rudraprayag","2681","2519","36","2","124"
"Tehri Garhwal","2332","1978","30","5","319"
"U.S. Nagar","8757","8449","37","5","266"
"Uttarkashi","1621","1427","28","4","162"
"Total","91289","86857","982","262","3188"
