"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 18-09-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"","1  Gurugram","27","170","299915","298722[36]","99.60","1023","12","27","181","5702646"
"2","Faridabad","7","33","135559","134785[3]","99.43","741","10","25","88","4177069"
"3","Hisar","5","13","63821","62626[2]","98.13","1182","3","5","30","2430979"
"4","Sonipat","0","7","59570","59287[2]","99.52","276","16","37","98","2356051"
"5","Karnal","2","13","49860","49247[1]","98.77","600","1","15","16","2463957"
"6","Panchkula","1","25","48309","47863","99.08","421","0","1","11","1176948"
"7","Ambala","0","30","42801","42229","98.66","542","4","3","22","2205917"
"8","Panipat","0","16","36741","36048","98.11","677","0","2","26","2128853"
"9","Sirsa","1","13","34205","33646","98.37","546","2","6","29","1986626"
"10  Rohtak","","1","15","33149","32580[1]","98.28","537","0","1","0","1811125"
"","11  Yamunanagar","4","23","32618","32137","98.53","458","5","0","0","2036572"
"","12  Kurukshetra","2","5","27786","27375[2]","98.52","406","0","3","1","1624674"
"13  Bhiwani","","3","11","27148","26470[4]","97.50","667","0","0","10","1879588"
"14","Jind","5","9","25399","24847[1]","97.83","543","6","19","8","1779298"
"","15  Mahendragarh","0","3","24997","24829","99.33","165","0","7","0","1444081"
"16  Rewari","","0","0","24979","24755","99.10","224","0","5","7","1625228"
"17","Jhajjar","1","5","24087","23722[4]","98.48","354","2","2","17","1632996"
"18  Fatehabad","","0","0","20286","19786","97.54","500","0","5","13","1213396"
"19  Kaithal","","2","6","15186","14805[1]","97.49","375","1","3","61","1890195"
"20  Palwal","","0","4","13655","13477","98.70","174","3","7","4","1576661"
"21","Charkhi Dadri","0","14","8066","7905[1]","98.00","147","0","1","21","953278"
"22  Nuh","","0","3","6178","6036","97.70","139","0","6","5","1227240"
"Haryana","","61","418","1054315","1043177 [58]","98.94","10697","65","180","648","45323378"
