"Districts","Samples 
Sent to 
Labs 
Today","Negative","","Positive","","Cumulative 
Samples 
Tested 
Since 
01.01.2022","Results 
Awaited 
(including sample 
sent to labs today)"
"","","Negative 
in last 24 
hours","Negative 
Cumulative 
Since 
01.01.2022","Positive 
in last 24 
hours","Positive 
Cumulative 
Since 
01.01.2022","",""
"Almora","49","85","67914","10","4767","72675","6"
"Bageshwar","78","77","37723","1","2141","39860","7"
"Chamoli","59","50","50703","9","3304","54005","2"
"Champawat","19","100","64273","3","1971","66241","0"
"Dehradun","872","500","399976","100","37441","437282","66"
"Haridwar","226","262","319220","14","13812","333002","21"
"Nainital","255","233","99860","25","12453","112243","25"
"Pauri Garhwal","102","99","103499","9","5465","108957","7"
"Pithoragarh","35","22","43843","2","2629","46460","0"
"Rudraprayag","64","4","29507","33","2912","32419","6"
"Tehri Garhwal","176","128","43862","4","2573","46428","22"
"US Nagar","288","472","147821","10","9141","156938","8"
"Uttarkashi","40","5","46017","1","1869","47884","3"
"Total","2263","2037","1454218","221","100478","1554394","173"
