"Sr 
No","Name of District","Positive Cases Today","No of Active Cases","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged Cases","Recovery Rate (%)","No. of Deaths","COVID-19, Vaccination Status  
(NHM, Haryana)*","","",""
"","","","","","","","","Coverage of Vaccination  
on 01-04-2022","","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd","Precaution 
Dose",""
"1","Gurugram","39","163","260942","259773[53]","99.55","1006","1887","1319","584","5066993"
"2","Faridabad","2","34","127055","126282[2]","99.39","739","1109","886","409","3862936"
"3","Hisar","2","4","62046","60868[4]","98.10","1174","148","1315","43","2293057"
"4","Sonepat","1","6","58541","58259","99.52","276","156","456","61","2222394"
"5","Karnal","0","3","48172","47573[3]","98.76","596","392","753","149","2302823"
"6","Panipat","1","1","36059","35386","98.13","672","139","599","54","1989888"
"7","Panchkula","0","4","44133","43715","99.05","414","384","188","135","1068914"
"8","Ambala","0","0","40758","40216","98.67","542","700","484","136","2049692"
"9","Sirsa","0","0","33372","32833[1]","98.38","539","94","404","19","1892830"
"10","Rohtak","0","2","31823","31267[2]","98.25","537","309","556","89","1647026"
"11","Yamunanagar","0","0","30647","30192","98.52","455","376","731","161","1872993"
"12","Bhiwani","0","4","26486","25817[1]","97.47","665","239","417","48","1713469"
"13","Kurukshetra","0","0","26822","26425","98.52","397","280","495","73","1468188"
"14","Mahindergarh","0","0","24754","24589[1]","99.33","165","139","267","104","1341790"
"15","Jind","0","2","24348","23804","97.77","542","190","530","35","1654331"
"16","Rewari","0","0","24589","24365","99.09","224","91","154","59","1518479"
"17","Jhajjar","0","0","23426","23070","98.48","350","243","245","26","1536628"
"18","Fatehabad","0","1","20055","19556","97.51","498","17","58","6","1180982"
"19","Kaithal","0","3","14228","13854","97.37","371","87","515","24","1690123"
"20","Palwal","0","3","13473","13300","98.72","170","314","360","51","1482893"
"21","Charkhi Dadri","0","3","7426","7278","98.01","145","150","121","93","851126"
"22","Nuh","0","2","6108","5967","97.69","139","31","175","20","1216680"
"Haryana","","45","235","985263","974389[67]","98.90","10616","7475","11028","2379","41924235"
