"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","87668","18","85540","2110"
"2","SAS Nagar","68957","45","67840","1072"
"3","Jalandhar","63499","36","61964","1499"
"4","Patiala","48977","25","47590","1362"
"5","Amritsar","47432","8","45826","1598"
"6","Bathinda","41780","12","40722","1046"
"7","Hoshiarpur","30950","58","29899","993"
"8","Gurdaspur","22403","8","21592","803"
"9","Fazilka","20282","3","19749","530"
"10","Pathankot","18955","53","18475","427"
"11","Muktsar","18801","17","18260","524"
"12","Kapurthala","17868","2","17310","556"
"13","Sangrur","15768","3","14890","875"
"14","Mansa","15611","2","15228","381"
"15","Ferozepur","14392","11","13877","504"
"16","Faridkot","13945","5","13621","319"
"17","Ropar","12984","9","12551","424"
"18","SBS Nagar","11472","0","11084","388"
"19","FG Sahib","8904","5","8563","336"
"20","Moga","8684","2","8448","234"
"21","Tarn Taran","8065","13","7671","381"
"22","Barnala","5955","9","5702","244"
"","Total","603352","344","586402","16606"
