"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","30,817"
"2","Number of persons tested positive today in Tamil Nadu","8,944"
"","Passengers returned from other countries  by 
International airport tested positive today","UAE - 5 
Singapore - 3 
USA - 1"
"","Passengers returned from other states  by Domestic 
airport tested positive today","Maharashtra - 1"
"","Passengers returned from other states by Road tested 
positive today","West Bengal - 17 
Bihar - 5 
Assam - 2 
Andhra Pradesh - 1 
Delhi - 1 
Jharkhand - 1"
"","Total","8,981"
"3","Total Number of persons tested positive till date","27,76,413"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","1,36,620/ 
5,82,39,971@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","1,36,292/ 
5,72,98,712"
"6","No. of Male / Female / Transgender tested positive today","5,238/3,743/0"
"7","No. of Male / Female / Transgender tested positive till date","16,20,668/11,55,707/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","321 (69 Govt+ 
252 Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","984/ 
27,08,763"
"10","Total number of deaths today/ till date","8(5 Private &  
3 Govt) /36,833"
