"Sr 
No","Name of District","Positive Cases Today","Cumulative Positive Cases","Cumulative     
Recovered/ 
Discharged 
Cases","Recovery Rate (%)","No. of Deaths","No of Active Cases","COVID-19, Vaccination Status  
(NHM, Haryana)","",""
"","","","","","","","","Coverage of 
Vaccination on 
27-11-2021","","Cumulative Coverage of 
Vaccination"
"","","","","","","","","Dose 1st","Dose 2nd",""
"1","Gurugram","7","181680","180694[5]","99.46","924","62","1266","5902","3824696"
"2","Faridabad","1","99936","99202","99.27","717","17","2437","9481","2702229"
"3","Hisar","0","53997","52860","97.89","1136","1","905","4473","1418173"
"4","Sonepat","0","47143","46885","99.45","254","4","1129","4684","1522087"
"5","Karnal","0","40041","39488","98.62","552","1","1378","4475","1570969"
"6","Panipat","0","31153","30515","97.95","638","0","1872","5523","1235633"
"7","Panchkula","2","30829","30414[3]","98.65","379","36","310","1707","791315"
"8","Ambala","0","30150","29641","98.31","509","0","688","3811","1561673"
"9","Sirsa","0","29283","28775","98.27","508","0","1557","3416","1179464"
"10","Rohtak","0","25915","25363[1]","97.87","534","1","1771","2577","1078940"
"11","Yamunanagar","0","24640","24221","98.30","414","5","451","3341","1240970"
"12","Bhiwani","1","22410","21757","97.09","652","1","827","6207","1199886"
"13","Kurukshetra","0","22152","21794","98.38","357","1","573","2818","927031"
"14","Mahindergarh","0","21689","21534","99.29","155","0","687","2790","922382"
"15","Jind","0","21210","20676","97.48","533","1","1385","3812","1051364"
"16","Rewari","0","20329","20108","98.91","221","0","951","4155","1034347"
"17","Jhajjar","0","18850","18516","98.23","328","0","636","2872","1080383"
"18","Fatehabad","0","17880","17396[1]","97.29","482","2","695","2660","827398"
"19","Kaithal","0","11247","10899","96.91","346","2","1174","4334","951163"
"20","Palwal","0","11028","10873","98.59","153","2","3702","4920","942204"
"21","Charkhi Dadri","0","5078","4939","97.26","139","0","351","1778","664294"
"22","Nuh","0","5014","4891","97.55","123","0","12848","2058","659125"
"Total","","11","771654","761441[10]","98.68","10054","136","37593","87794","28385726"
