"S. No.","District","Total Confirmed
Cases","Total Active
Cases","Total Cured","Deaths"
"1","Ludhiana","109578","179","107128","2271"
"2","SAS Nagar","95365","343","93881","1141"
"3","Jalandhar","78054","204","76278","1572"
"4","Patiala","61929","56","60417","1456"
"5","Amritsar","59280","54","57546","1680"
"6","Bathinda","50726","109","49531","1086"
"7","Hoshiarpur","40652","163","39398","1091"
"8","Gurdaspur","26873","59","25952","862"
"9","Pathankot","24376","115","23774","487"
"10","Fazilka","23286","123","22619","544"
"11","Muktsar","22505","83","21885","537"
"12","Kapurthala","21958","66","21313","579"
"13","Ropar","17893","52","17389","452"
"14","Ferozepur","17819","42","17247","530"
"15","Mansa","17218","2","16825","391"
"16","Faridkot","16677","59","16280","338"
"17","Sangrur","14300","16","13551","733"
"18","SBS Nagar","13372","19","12950","403"
"19","FG Sahib","11812","14","11444","354"
"20","Moga","10968","20","10694","254"
"21","Tarn Taran","10853","56","10404","393"
"22","Barnala","7442","38","7083","321"
"23","Malerkotla","3963","3","3784","176"
"","Total","756899","1875","737373","17651"
