"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","740","110516","545","108034","14","2293","189"
"2","SAS Nagar","1247","96936","952","95485","7","1155","296"
"3","Jalandhar","344","78614","248","76948","3","1581","85"
"4","Patiala","485","62504","370","60942","1","1458","104"
"5","Amritsar","202","59599","163","57871","2","1684","44"
"6","Bathinda","251","51119","128","49906","0","1088","125"
"7","Hoshiarpur","115","40955","108","39840","0","1096","19"
"8","Gurdaspur","65","27004","47","26120","1","865","19"
"9","Pathankot","119","24643","86","24119","0","495","29"
"10","Fazilka","86","23482","75","22914","0","545","23"
"11","Muktsar","30","22584","25","22035","0","539","10"
"12","Kapurthala","89","22119","68","21520","1","583","16"
"13","Ropar","93","18031","63","17546","0","455","30"
"14","Ferozepur","66","17965","46","17406","1","538","21"
"15","Mansa","51","17279","27","16863","1","393","23"
"16","Faridkot","117","16900","93","16534","0","338","28"
"17","Sangrur","30","14339","18","13591","0","735","13"
"18","SBS Nagar","44","13446","37","13025","0","409","12"
"19","FG Sahib","101","11934","72","11552","0","354","28"
"20","Moga","24","11011","17","10748","1","255","8"
"21","Tarn Taran","23","10919","13","10518","0","394","7"
"22","Barnala","18","7515","16","7159","0","349","7"
"23","Malerkotla","15","3983","13","3804","0","176","3"
"","Total","4355","763397","3230","744480","32","17778","1139"
