"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","0","35185","2","34848","4","0","333","0",""
"","2","Ballari","0","97834","2","96018","129","1","1687","0",""
"","3","Belagavi","0","80035","1","79016","74","1","945","0",""
"","4","Bengaluru Rural","0","62126","3","61195","39","0","892","0",""
"","5","Bengaluru Urban","121","1259025","188","1237124","5531","4","16369","1",""
"","6","Bidar","0","24350","1","23943","0","0","403","4",""
"","7","Chamarajanagara","3","33106","5","32570","22","0","503","11",""
"","8","Chikkaballapura","1","43990","9","43551","7","0","431","1",""
"","9","Chikkamagaluru","9","51402","2","50821","185","0","396","0",""
"","10","Chitradurga","2","36745","0","36500","36","0","209","0",""
"","11","Dakshina 
Kannada","19","116081","21","114239","144","0","1691","7",""
"","12","Davanagere","0","51024","2","50398","18","0","608","0",""
"","13","Dharwada","2","61441","6","60059","57","0","1323","2",""
"","14","Gadag","0","26073","0","25754","0","0","319","0",""
"","15","Hassana","10","112186","13","110830","95","0","1259","2",""
"","16","Haveri","0","21960","1","21316","1","0","643","0",""
"","17","Kalaburagi","3","61966","2","61135","9","0","822","0",""
"","18","Kodagu","35","37495","13","36935","226","0","333","1",""
"","19","Kolara","2","47045","4","46387","16","1","642","0",""
"","20","Koppala","0","35207","0","34670","9","0","528","0",""
"","21","Mandya","3","73900","1","73199","46","0","655","0",""
"","22","Mysuru","13","180059","17","177420","214","0","2425","0",""
"","23","Raichuru","0","39981","0","39648","0","0","333","0",""
"","24","Ramanagara","0","24217","0","23890","4","0","323","0",""
"","25","Shivamogga","2","69682","7","68473","119","0","1090","0",""
"","26","Tumakuru","5","121209","10","119936","133","0","1140","0",""
"","27","Udupi","3","76976","5","76425","62","0","489","0",""
"","28","Uttara Kannada","3","56501","6","55682","46","0","773","0",""
"","29","Vijayapura","0","36286","0","35781","10","0","495","0",""
"","30","Yadagiri","0","27548","0","27342","0","0","206","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","236","3000671","321","2955138","7236","7","38268","29",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 13-12-2021 
 Page 5 of 8","","","","","","","","","",""
"","","","","","","","","","","",""
