TT|2022-04-01 07:55:11.601496|GetSource|ERR|File Not Found
TT|2022-04-01 09:55:11.421318|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-01 09:55:44.052950|ExtractFromHTML|OK|COMPLETED
TT|2022-04-01 11:55:13.027556|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-01 11:55:25.962382|ExtractFromHTML|OK|COMPLETED
TT|2022-04-01 19:55:10.595845|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-01 19:55:29.555754|ExtractFromHTML|OK|COMPLETED
TT|2022-04-01 20:55:10.898556|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-01 20:55:30.936804|ExtractFromHTML|OK|COMPLETED
TT|2022-04-01 21:55:14.211191|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-01 21:55:32.185051|ExtractFromHTML|OK|COMPLETED
TT|2022-04-01 22:55:12.065625|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-01 22:55:50.370783|ExtractFromHTML|OK|COMPLETED
TT|2022-04-01 23:55:10.831006|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-01 23:55:27.720862|ExtractFromHTML|OK|COMPLETED
TT|2022-04-02 07:55:10.950002|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
TT|2022-04-02 09:55:10.642072|GetSource|OK|File Downloaded fromhttps://www.mygov.in/covid-19
