"S.
No.","District","Total Confirmed Cases","","Total Cured","","Total Deaths","","Total Active
Cases"
"","","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date","From 1st
April 2022","Till Date",""
"1","Ludhiana","2498","112974","2274","109763","30","3009","202"
"2","SAS Nagar","4331","100020","3904","98437","15","1163","420"
"3","Jalandhar","2237","80502","1882","78220","13","1953","329"
"4","Patiala","1735","63815","1520","61903","6","1717","195"
"5","Amritsar","1013","60568","851","58559","4","1844","165"
"6","Bathinda","1172","52039","1017","50460","2","1425","154"
"7","Hoshiarpur","967","42109","778","40510","11","1411","188"
"8","Gurdaspur","280","27207","221","26294","3","867","46"
"9","Pathankot","421","24923","365","24380","3","520","23"
"10","Fazilka","302","23734","296","23099","0","621","14"
"11","Muktsar","170","22722","141","22151","0","539","32"
"12","Kapurthala","422","22451","349","21791","3","595","65"
"13","Ropar","830","18768","688","18171","4","459","138"
"14","Ferozepur","368","18261","304","17664","2","539","58"
"15","Mansa","167","17392","159","16995","1","393","4"
"16","Faridkot","317","17152","283","16704","3","413","35"
"17","Sangrur","244","14678","219","13792","4","864","22"
"18","SBS Nagar","350","13752","296","13284","0","409","59"
"19","FG Sahib","561","12476","500","11980","1","437","59"
"20","Moga","172","11171","130","10861","3","269","41"
"21","Tarn Taran","103","11003","68","10573","1","399","31"
"22","Barnala","151","7651","146","7284","3","360","7"
"23","Malerkotla","50","4053","44","3835","3","214","4"
"","Total","18861","779421","16435","756710","115","20420","2291"
