"","","","","","","","","",""
"","","","","","","","","",""
"Districtwise Abstract of COVID-19","","","","","","","","",""
"Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#"
"1","Bagalakote","0","35184","0","34845","6","0","333","0"
"2","Ballari","5","97806","0","96005","115","0","1686","0"
"3","Belagavi","6","80005","5","78989","72","0","944","0"
"4","Bengaluru Rural","2","62106","2","61176","38","1","892","0"
"5","Bengaluru Urban","256","1257498","214","1236016","5136","2","16345","1"
"6","Bidar","1","24349","0","23941","2","0","402","4"
"7","Chamarajanagara","2","33092","3","32532","46","0","503","11"
"8","Chikkaballapura","2","43978","0","43538","8","0","431","1"
"9","Chikkamagaluru","66","51295","3","50791","108","0","396","0"
"10","Chitradurga","1","36739","1","36490","40","0","209","0"
"11","Dakshina 
Kannada","13","115959","15","114117","147","0","1688","7"
"12","Davanagere","2","51015","0","50388","19","0","608","0"
"13","Dharwada","20","61390","44","59752","314","0","1322","2"
"14","Gadag","0","26073","2","25752","2","0","319","0"
"15","Hassana","12","112118","11","110758","99","0","1259","2"
"16","Haveri","0","21958","0","21305","10","0","643","0"
"17","Kalaburagi","2","61958","0","61126","10","0","822","0"
"18","Kodagu","17","37305","0","36866","107","0","331","1"
"19","Kolara","2","47030","3","46364","25","0","641","0"
"20","Koppala","0","35207","0","34662","18","0","527","0"
"21","Mandya","3","73866","2","73186","25","0","655","0"
"22","Mysuru","10","179921","5","177190","307","1","2424","0"
"23","Raichuru","0","39981","0","39647","1","0","333","0"
"24","Ramanagara","0","24215","1","23889","3","0","323","0"
"25","Shivamogga","7","69622","3","68374","158","0","1090","0"
"26","Tumakuru","8","121153","5","119863","152","1","1138","0"
"27","Udupi","5","76951","3","76376","86","1","489","0"
"28","Uttara Kannada","14","56463","8","55615","75","0","773","0"
"29","Vijayapura","0","36278","0","35781","2","0","495","0"
"30","Yadagiri","0","27548","0","27341","1","0","206","0"
"31","Others*","0","36","0","33","0","0","3","0"
"Total","","456","2998099","330","2952708","7132","6","38230","29"
"*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 05-12-2021 
 Page 5 of 8","","","","","","","","",""
