"Sl. 
No","District","Total Positive 
Cases","Discharged","Active 
Cases","Death"
"1","Ariyalur","16931","16656","11","264"
"2","Chengalpattu","174362","171218","606","2538"
"3","Chennai","559243","549323","1295","8625"
"4","Coimbatore","251391","247692","1216","2483"
"5","Cuddalore","64460","63517","70","873"
"6","Dharmapuri","28879","28517","83","279"
"7","Dindigul","33276","32575","50","651"
"8","Erode","106869","105482","687","700"
"9","Kallakurichi","31583","31343","30","210"
"10","Kancheepuram","75802","74313","224","1265"
"11","Kanyakumari","62891","61710","122","1059"
"12","Karur","24760","24235","161","364"
"13","Krishnagiri","43944","43474","115","355"
"14","Madurai","75581","74319","77","1185"
"15","Mayiladuthurai","23399","23057","24","318"
"16","Nagapattinam","21384","20966","61","357"
"17","Namakkal","53920","52952","454","514"
"18","Nilgiris","34215","33855","142","218"
"19","Perambalur","12111","11857","9","245"
"20","Pudukottai","30349","29906","24","419"
"21","Ramanathapuram","20646","20266","21","359"
"22","Ranipet","43616","42784","54","778"
"23","Salem","101777","99564","498","1715"
"24","Sivagangai","20440","20175","55","210"
"25","Tenkasi","27397","26906","5","486"
"26","Thanjavur","76226","75088","140","998"
"27","Theni","43614","43085","8","521"
"28","Thirupathur","29420","28765","28","627"
"29","Thiruvallur","120465","118316","297","1852"
"30","Thiruvannamalai","55251","54520","59","672"
"31","Thiruvarur","41943","41397","85","461"
"32","Thoothukudi","56530","56081","37","412"
"33","Tirunelveli","49692","49206","53","433"
"34","Tiruppur","97726","96099","624","1003"
"35","Trichy","78638","77346","205","1087"
"36","Vellore","50304","49020","143","1141"
"37","Villupuram","46046","45656","32","358"
"38","Virudhunagar","46407","45845","13","549"
"39","Airport Surveillance 
(International)","1033","1029","3","1"
"40","Airport Surveillance 
(Domestic)","1085","1084","0","1"
"41","Railway Surveillance","428","428","0","0"
"Grand Total","","27,34,034","26,89,627","7,821","36,586"
