"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","852","486","3324"
"Kollam","188","25","650"
"Pathanamthitta","370","125","478"
"Alappuzha","232","67","380"
"Kottayam","315","50","2822"
"Idukki","170","39","1162"
"Ernakulam","1081","323","4520"
"Thrissur","376","62","2495"
"Palakkad","140","47","407"
"Malappuram","184","81","1431"
"Kozhikode","467","252","3136"
"Wayanad","128","61","794"
"Kannur","215","121","1029"
"Kasaragod","83","74","282"
"Total","4801","1813","22910"
