"S.NO","COVID-19 STATISTICS","DETAILS"
"1","Number of active cases on date (Including isolation)","466"
"2","Number of persons tested positive today in Tamil Nadu","56"
"","Passengers returned from other countries  by 
International airport &  other states  by Domestic 
airport tested positive today","UAE-1 & Delhi-1"
"","Total","58$"
"3","Total Number of persons tested positive till date","34,54,153"
"4","Total Number of samples tested by  RT-PCR today/ till 
date*","16,579/ 
6,62,48,653@"
"5","Total Number of Persons tested by  RT-PCR today/ till date","16,559/ 
6,50,71,760"
"6","No. of Male / Female / Transgender tested positive today","25/33/0"
"7","No. of Male / Female / Transgender tested positive till date","20,15,879/14,38,236/38"
"8","Number of functioning COVID -19 testing facilities in Tamil 
Nadu","336 (69 Govt+ 
267Private)"
"9","Number of COVID-19 positive patients discharged following 
treatment today/ till date","59/ 
34,15,662"
"10","Total number of deaths today/ till date","0(0 Private &  
0 Govt) /38,025"
