"","","","","","","","","","","",""
"","","","","","","","","","","",""
"","Districtwise Abstract of COVID-19","","","","","","","","","",""
"","Sl. 
No","District Name","Today’s 
Positives","Total 
Positives","Today’s 
Discharges","Total 
Discharges","Total 
Active 
Cases","Today’s 
Reported 
Covid 
Deaths","Total 
Covid 
Deaths","Death 
due to 
 Non-
Covid 
reasons#",""
"","1","Bagalakote","18","40562","85","39764","439","0","359","0",""
"","2","Ballari","50","115098","135","112097","1259","1","1740","2",""
"","3","Belagavi","63","99554","723","94482","4078","2","994","0",""
"","4","Bengaluru Rural","7","79186","41","77796","484","1","906","0",""
"","5","Bengaluru Urban","754","1771622","2089","1741957","12890","5","16774","1",""
"","6","Bidar","8","29750","30","29227","101","2","418","4",""
"","7","Chamarajanagara","20","43432","95","42498","402","1","521","11",""
"","8","Chikkaballapura","24","55495","153","54632","405","1","457","1",""
"","9","Chikkamagaluru","18","57068","47","56365","297","1","406","0",""
"","10","Chitradurga","21","45917","148","44853","831","0","233","0",""
"","11","Dakshina 
Kannada","55","135051","135","132493","730","2","1819","9",""
"","12","Davanagere","14","57452","74","56609","222","1","621","0",""
"","13","Dharwada","20","83777","250","81912","508","2","1355","2",""
"","14","Gadag","7","30522","48","30066","121","1","335","0",""
"","15","Hassana","37","143571","71","141760","510","0","1299","2",""
"","16","Haveri","22","26700","59","25902","131","0","667","0",""
"","17","Kalaburagi","28","76376","185","75078","424","0","874","0",""
"","18","Kodagu","26","48889","185","48009","533","0","346","1",""
"","19","Kolara","12","62849","51","61963","226","0","660","0",""
"","20","Koppala","12","41213","98","40419","258","0","536","0",""
"","21","Mandya","35","101288","186","100208","381","0","699","0",""
"","22","Mysuru","78","228661","361","224951","1159","0","2551","0",""
"","23","Raichuru","15","45391","35","44765","269","0","357","0",""
"","24","Ramanagara","26","29672","40","29201","125","0","346","0",""
"","25","Shivamogga","91","82915","72","80681","1108","1","1125","1",""
"","26","Tumakuru","37","159246","259","156474","1565","2","1207","0",""
"","27","Udupi","31","95231","159","94090","607","2","534","0",""
"","28","Uttara Kannada","14","70910","93","69489","616","0","805","0",""
"","29","Vijayapura","15","40899","77","39976","415","0","508","0",""
"","30","Yadagiri","10","29904","41","29573","121","0","210","0",""
"","31","Others*","0","36","0","33","0","0","3","0",""
"","Total","","1568","3928237","6025","3857323","31215","25","39665","34",""
"","*Others include Cases of other States and International Quarantined Passengers. 
#Cumulative total of Non COVID deaths reported till today. 
 
Date: 14-02-2022 
 Page 5 of 18","","","","","","","","","",""
"","","","","","","","","","","",""
