"","D
      
   
   
         
GOVERNMENT OF KARNATAKA 
 
DEPARTMENT OF HEALTH & FAMILY WELFARE 
 
COVID-19 
 
MEDIA BULLETIN 
ATE: 14-02-2022","","","","","","","","",""
"","","","","","","","","","",""
"","","T
he first case of Corona Virus infection, which has caused a pandemic resulting in catastrophic 
health 
implications  and  human  miseries 
throughout 
the  globe,  was  detected 
in 
state  on 
08.03.2020. It was a case of international traveler returning to Bengaluru Urban. 
A robust surveillance system with elaborate contingency plan is in place for limiting the spread of 
the disease.  
In  the  fight  against  COVID-19  pandemic  an  effective 
intervention  in  the  form  of  COVID 
vaccination  has  been  implemented  in  Karnataka  since  January  16 th  2021  as  per  Government  of 
India operational guidelines. 
The state is addressing the ongoing challenge of COVID 19 through the 5 pillars of Management 
i.e., “Test- Track- Treat- Vaccinate and Adherence to COVID Appropriate Behaviour”.","","","","","","","",""
"","","","","","","","","","",""
"","","","1","Today’s Discharges","","6025","","","",""
"","","","2","Total Discharges","","3857323","","","",""
"","","","3","New Cases Reported (13.02.2022, 00:00 to 23:59)","","1568","","","",""
"","","","4","Total Active Cases","","31215","","","",""
"","","","5","New Covid Deaths","","25","","","",""
"","","","6","Total Covid Deaths","","39665","","","",""
"","","","7","Total Positive Cases","","3928237","","","",""
"","","","8","Positivity rate for the day (13.02.2022, 00:00 to 23:59)","","2.25%","","","",""
"","","","9","Case fatality rate (CFR) for the day (13.02.2022, 00:00 to 23:59)","","1.59%","","","",""
"","","","","","","","","","",""
"","","Particulars","","","Today’s","","Cumulative","","",""
"","","A 
Total Passengers screened at Air ports","","","1221**","","667572","","",""
"","","High risk country* passengers arrived from 01-11- 2021 
B 
to till date","","","574","","38097","","",""
"","*As specified from GOI  
**Date 13-02-2022. 
 
 
Date: 14-02-2022 
 Page 1 of 18","","","","","","","","",""
"","","","","","","","","","",""
