,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10766,10637,129,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,991264,347616,353285,290363,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2340672,2325939,14733,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,110957304,44704360,47578787,18674157,https://www.icmr.gov.in/,0,0,0,236,61,88,385,4,3,4,11,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,67042,66744,296,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,1924584,961348,821819,141417,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,0,0,0,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746138,738084,8035,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,50335778,24813013,22150254,3372511,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,0,0,0,0,0,0,,,1332900000,Assam,34293000
4,Bihar,855257,842930,12314,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,157289768,73485547,67912253,15891968,https://www.icmr.gov.in/,0,0,0,236,61,88,385,3,0,56,59,0,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,100687,99501,1185,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,2291319,1185682,991052,114585,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,1,4,5,0,0,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1187678,1173485,14190,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,49167925,21267793,20343759,7556373,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,0,3,3,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11592,11588,4,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,1580043,782352,636962,160729,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,0,0,0,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2040765,2014081,26664,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,37408683,18297609,15717345,3393729,https://www.icmr.gov.in/,0,0,0,236,61,88,385,8,6,4,18,0,0,0,,,1332900000,Delhi,19814000
9,Goa,263285,259248,4014,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,2874477,1440045,1295735,138697,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,0,0,0,0,0,0,,,1332900000,Goa,1540000
10,Gujarat,1291347,1280252,11079,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,128104851,54398241,54032483,19674127,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,5,3,8,0,0,0,,,1332900000,Gujarat,67936000
11,Haryana,1078872,1068089,10754,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,45546343,23681689,19849158,2015496,https://www.icmr.gov.in/,0,0,0,236,61,88,385,3,0,1,4,0,0,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,322812,318561,4240,2023-06-22,TT,44993766,531900,44460082,2023-06-27 13:14:29.974092,932058993,2023-06-21 00:00:00,0,2206708255,1027411650,951978370,227318235,15325484,6646550,6328308,2350626,https://www.icmr.gov.in/,0,0,0,236,61,88,385,0,0,0,0,0,0,0,,,1332900000,Himachal Pradesh,7300000
