,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,deltaVaccinated3ForDistrict,cumulativeOtherNumberForDistrict,7DmaOtherForDistrict,7DmaVaccinated3ForDistrict,cumulativeVaccinated3NumberForDistrict
33,33,33,33,33,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Hamirpur,,,,,3270,4813,,,,,,17078.0,24654.0,1104021,,,,,,,,604789,250179,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
34,34,34,34,34,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Hapur,,,,,7373,6489,,,,,,28233.0,28687.0,1338211,,,,,,,,735440,337889,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
35,35,35,35,35,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Hardoi,,,,,14842,23707,,,,,,62923.0,107131.0,4091380,,,,,,,,1997765,820404,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
36,36,36,36,36,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Hathras,,,,,8784,9638,,,,,,45055.0,54083.0,1565678,,,,,,,,810144,381119,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
37,37,37,37,37,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Jalaun,,,,,3042,6251,,,,,,18124.0,32572.0,1670718,,,,,,,,864027,336049,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
38,38,38,38,38,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Jaunpur,,,,,12201,24552,,,,,,59258.0,103081.0,4476072,,,,,,,,2326788,910119,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
39,39,39,39,39,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Jhansi,,,,,1501,6243,,,,,,7361.0,29314.0,2000755,,,,,,,,1151553,451356,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
40,40,40,40,40,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Kannauj,,,,,12695,7291,,,,,,91059.0,40988.0,1658005,,,,,,,,929721,385865,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
41,41,41,41,41,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Kanpur Dehat,,,,,4059,8571,,,,,,25162.0,47860.0,1795092,,,,,,,,1003519,429538,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
42,42,42,42,42,2021-11-23,UP,2,0,12,0,812386,922982,54,58.0,0.0,63.0,,4124714.0,4860414.0,Kanpur Nagar,,,,,15292,18545,,,,,,82309.0,95551.0,4572951,,,,,,,,2419752,1090033,2021-11-24 10:14:49.969185,224979000,,,,1710346,22909,1687343,,107151053,44750507,0,0,0,0,0
