"District","Positive Cases 
declared today","Declared Negative 
today","Positive cases 
admitted in 
the district"
"Thiruvananthapuram","60","123","660"
"Kollam","25","61","107"
"Pathanamthitta","43","59","163"
"Alappuzha","18","4","93"
"Kottayam","78","171","624"
"Idukki","24","59","424"
"Ernakulam","109","171","1127"
"Thrissur","58","48","293"
"Palakkad","20","5","56"
"Malappuram","21","30","215"
"Kozhikode","45","67","393"
"Wayanad","18","26","152"
"Kannur","22","44","56"
"Kasaragod","2","4","26"
"Total","543","872","4389"
